lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
patrae	N1	f	NpA	2	1	0	0	2	0	63716(60351),63717(60352)	lemma/17803
pelagius	N2/1	*	Af-	2	1	0	1	1	0	28840(p0742),63783(60720)	lemma/116423
pelias	N3B	f	NpC	2	1	0	0	2	0	63806(60752),63807(60753)	lemma/17911
peregrinus	N2/1	*	Af-	2	1	0	1	1	0	29181(p1063),63896(61330)	lemma/116770
petraeus	N2/1	*	Af-	2	1	0	1	1	0	64024(62610),29975(p1812)	lemma/117552
petrensis	N3A	*	Af-	2	1	0	1	1	0	64027(62615),29979(p1816)	lemma/117556
phanias	N1	m	NpA	2	1	0	0	2	0	64131(62784),64132(62785)	lemma/18293
phaon	N3B	m	NpC	2	1	0	0	2	0	64138(62795),64139(62796)	lemma/18300
phasianus	N2/1	*	Af-	2	1	0	1	1	0	30051(p0720),64175(62857)	lemma/116399
phileas	N1	m	NpA	2	1	0	0	2	0	64247(62955),64246(62954)	lemma/18409
philistaei	N2/1	*	Af-	2	1	0	0	2	0	64285(63000),64286(63001)	lemma/18449
philotimus	N2	m	NpB	2	1	0	0	2	0	64349(63088),64350(63089)	lemma/18514
philyrides	N1	m	NpA	2	1	0	0	2	0	64362(63108),64361(63107)	lemma/18528
phoda	N1	f	NpA	2	1	0	0	2	0	64402(63174),64401(63173)	lemma/18569
phoenicius	N2/1	*	Af-	2	1	0	1	1	0	64419(63205),30127(p1952)	lemma/117704
pistoriensis	N3A	*	Af-	2	1	0	1	1	0	30395(p2175),64644(63771)	lemma/117964
placidus	N2	m	NpB	2	1	0	0	2	0	64681(63873),64682(63874)	lemma/18873
plaetorius	N2/1	*	Af-	2	1	0	0	2	0	64684(63887),64683(63886)	lemma/18875
plotinus	N2/1	*	Af-	2	1	0	0	2	0	64752(64172),64751(64171)	lemma/18945
polycrates	N3B	m	NpC	2	1	0	0	2	0	64863(64505),64862(64504)	lemma/19065
porphyrius	N2	m	NpB	2	1	0	0	2	0	64964(64830),64965(64831)	lemma/19167
postumius	N2/1	*	Af-	2	1	0	0	2	0	64994(65068),64993(65067)	lemma/19207
priapeus	N2/1	*	Af-	2	1	0	1	1	0	65057(66383),31937(p3523)	lemma/119458
priscillianus	N2	m	NpB	2	1	0	0	2	0	65075(66484),65074(66483)	lemma/19367
