lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
azanotthabor	N	2	NpP	2	1	0	0	2	0	48636(10701),48637(10702)	lemma/349
bacchicus	N2/1	*	Af-	2	1	0	1	1	0	48694(10798),4272(b9693)	lemma/92108
bacchylidius	N2/1	*	Af-	2	1	0	1	1	0	48705(10819),4276(b0901)	lemma/92075
bacchylus	N2	m	NpB	2	1	0	0	2	0	48707(10821),48708(10822)	lemma/428
basilicus	N2/1	*	Af-	2	1	0	1	1	0	48933(11267),4445(b0157)	lemma/91364
bassaricus	N2/1	*	Af-	2	1	0	1	1	0	48951(11293),4453(b9694)	lemma/92109
bellicus	N2/1	*	Af-	2	1	0	1	1	0	49086(11496),4514(b0015)	lemma/91201
bellus	N2/1	*	Af-	2	1	0	1	1	0	49099(11537),4530(b0245)	lemma/91462
beneuolus	N2/1	*	Af-	2	1	0	1	1	0	49123(11619),4569(b0905)	lemma/92079
benignus	N2/1	*	Af-	2	1	0	1	1	0	4572(b0275),49129(11631)	lemma/91494
bessus	N2/1	*	Af-	2	1	0	0	2	0	49203(11720),49204(11721)	lemma/989
bibractis	N3B	f	NpC	2	1	0	0	2	0	49239(11804),49242(11803)	lemma/1032
billis	N3B	m	NpC	2	1	0	0	2	0	49263(11910),49262(11909)	lemma/1063
blaesus	N2/1	*	Af-	2	1	0	1	1	0	49334(12085),4767(b0450)	lemma/91687
blandus	N2/1	*	Af-	2	1	0	1	1	0	4783(b0466),49340(12116)	lemma/91706
bona	N1	f	NpA	2	1	0	0	2	0	49454(12320),49455(12321)	lemma/1284
bonus	N2/1	*	Af-	2	1	0	1	1	0	4864(b0537),49467(12348)	lemma/91782
braboniacum	N2	n	NpB	2	1	0	0	2	0	49550(12498),49551(12499)	lemma/1390
braciaca	N1	m	NpA	2	1	0	0	2	0	49566(12539),49567(12540)	lemma/1410
bruttius	N2/1	*	Af-	2	1	0	0	2	0	49713(12782),49714(12783)	lemma/1576
burrus	N2/1	*	Af-	2	1	0	1	1	0	5103(b0758),49831(13032)	lemma/92019
cadurcus	N2/1	*	Af-	2	1	0	1	1	0	49959(13293),5221(c0069)	lemma/92191
caelicus	N2/1	*	Af-	3	1	0	1	2	0	5253(c0096),50001(13373),50002(13374)	lemma/92220
caelus	N2	m	NpB	2	1	0	0	2	0	50011(13398),50012(13399)	lemma/1903
caesar	N3B	m	NpC	2	1	0	0	2	0	50051(13471),50052(13472)	lemma/1947
caesius	N2/1	*	Af-	3	1	0	1	2	0	5304(c0137),50072(13500),50071(13499)	lemma/92263
calabricus	N2/1	*	Af-	2	1	0	1	1	0	5328(c0183),50109(13566)	lemma/92316
calauria	N1	f	NpA	2	1	0	0	2	0	50139(13623),50140(13624)	lemma/2046
callaecus	N2/1	*	Af-	2	1	0	1	1	0	50184(13786),5442(c9912)	lemma/97748
campensis	N3A	*	Af-	2	1	0	1	1	0	50296(14036),5541(c0333)	lemma/92488
cantabricus	N2/1	*	Af-	2	1	0	1	1	0	50345(14252),5672(c0438)	lemma/92613
canus	N2/1	*	Af-	2	1	0	1	1	0	50359(14319),5711(c0472)	lemma/92651
capitolinus	N2/1	*	Af-	2	1	0	0	2	0	50382(14411),50381(14409)	lemma/2328
caprarius	N2/1	*	Af-	2	1	0	1	1	0	5785(c0536),50393(14452)	lemma/92729
careiae	N1	f	NpA	2	1	0	0	2	0	50435(14635),50434(14634)	lemma/2393
caricus	N2/1	*	Af-	2	1	0	1	1	0	50442(14653),5919(c9921)	lemma/97761
carus	N2/1	*	Af-	2	1	0	1	1	0	50523(14837),6012(c0721)	lemma/92942
casarius	N2/1	*	Af-	2	1	0	1	1	0	6027(c0733),50527(14859)	lemma/92954
cassius	N2/1	*	Af-	2	1	0	0	2	0	50568(14939),50567(14938)	lemma/2540
castoreus	N2/1	*	Af-	2	1	0	1	1	0	6087(c0784),50579(14992)	lemma/93017
cauponius	N2/1	*	Af-	2	1	0	1	1	0	6313(c0986),50655(15282)	lemma/93242
celsus	N2/1	*	Af-	2	1	0	1	1	0	6419(c1085),50709(15511)	lemma/93360
censorinus	N2/1	*	Af-	2	1	0	1	1	0	6456(c1124),50744(15564)	lemma/93400
ceruarius	N2/1	*	Af-	2	1	0	1	1	0	6647(c1278),50845(15904)	lemma/93585
cetrius	N2/1	*	Af-	2	1	0	0	2	0	50871(15986),50870(15985)	lemma/2873
chalcidicus	N2/1	*	Af-	2	1	0	1	1	0	50901(16041),6714(c1337)	lemma/93651
chrestus	N2	m	NpB	2	1	0	0	2	0	51061(16422),51060(16421)	lemma/3081
chrysologus	N2	m	NpB	2	1	0	0	2	0	51087(16500),51086(16499)	lemma/3112
cilicius	N2/1	*	Af-	2	1	0	1	1	0	51136(16624),7006(c1606)	lemma/93960
cimber	N2/1	*	Af-	2	1	0	0	2	0	51144(16643),51143(13561)	lemma/3174
cinyria	N1	f	NpA	2	1	0	0	2	0	51190(16766),51191(16767)	lemma/3225
circumpadanus	N2/1	*	Af-	2	1	0	1	1	0	7246(c1825),51202(16994)	lemma/94199
cisalpinus	N2/1	*	Af-	2	1	0	1	1	0	51213(17178),7376(c1950)	lemma/94331
cisrhenanus	N2/1	*	Af-	2	1	0	1	1	0	51220(17195),7382(c1956)	lemma/94338
cius	N2	m	NpB	2	1	0	0	2	0	51254(17295),51255(17296)	lemma/3303
coche	N1	f	NpA	2	1	0	0	2	0	51445(17901),51444(17900)	lemma/3519
coemeterium	N2	n	NpB	2	1	0	0	2	0	51470(18012),51471(18013)	lemma/3549
collinus	N2/1	*	Af-	2	1	0	1	1	0	7963(c2433),51507(18344)	lemma/94863
colonicus	N2/1	*	Af-	2	1	0	1	1	0	8028(c2496),51519(18451)	lemma/94935
colophonius	N2/1	*	Af-	2	1	0	1	1	0	51527(18464),8032(c2499)	lemma/94938
commodus	N2/1	*	Af-	2	1	0	1	1	0	8275(c2708),51577(18833)	lemma/95177
copiosus	N2/1	*	Af-	2	1	0	1	1	0	9741(c3964),51694(21038)	lemma/96522
cornelius	N2/1	*	Af-	2	1	0	0	2	0	51753(21207),51754(21208)	lemma/3909
corsica	N1	f	NpA	2	1	0	0	2	0	51793(21391),51792(21390)	lemma/3950
coruinus	N2/1	*	Af-	2	1	0	1	1	0	9957(c4155),51800(21426)	lemma/96731
creon	N3B	m	NpC	2	1	0	0	2	0	51893(21723),51894(21724)	lemma/4058
cresius	N2/1	*	Af-	2	1	0	0	2	0	51902(21764),51903(21765)	lemma/4067
cressa	N1	f	NpA	2	1	0	0	2	0	51905(21767),51906(21768)	lemma/4069
crinitus	N2/1	*	Af-	2	0	1	1	1	0	10181(c4386),51923(21834)	hypolemma/96156
crispus	N2/1	*	Af-	2	1	0	1	1	0	10196(c4375),51929(21856)	lemma/96973
cupidus	N2/1	*	Af-	2	1	0	1	1	0	10501(c4651),52017(22305)	lemma/97281
cynicus	N2/1	*	Af-	2	1	0	1	1	0	52129(22632),10666(c4815)	lemma/97458
cyprius	N2/1	*	Af-	2	1	0	1	1	0	10702(c4850),52154(22703)	lemma/97498
damia	N1	f	NpA	2	1	0	0	2	0	52266(22868),52267(22869)	lemma/4473
decorus	N2/1	*	Af-	2	1	0	1	1	0	10972(d0239),52399(23342)	lemma/98117
dignus	N2/1	*	Af-	2	1	0	1	1	0	12299(d1444),52636(25407)	lemma/99407
dirae	N1	f	NpA	2	1	0	0	2	0	52739(25744),52740(25745)	lemma/5058
diuus	N2/1	*	Af-	2	1	0	1	1	0	12878(d0126),52782(26501)	lemma/97990
domesticus	N2/1	*	Af-	2	1	0	1	1	0	52829(26658),12959(d2138)	lemma/100046
dominicus	N2/1	*	Af-	2	1	0	1	1	0	12972(d0223),52832(26679)	lemma/98100
dor	N	2	NpP	2	1	0	0	2	0	52850(26752),52851(26753)	lemma/5245
dora	N1	f	NpA	2	1	0	0	2	0	52853(26755),52852(26754)	lemma/5247
dromas	N3B	f	NpC	2	1	0	0	2	0	52949(26920),52950(26921)	lemma/5354
durius	N2	m	NpB	2	1	0	0	2	0	53038(27269),53039(27270)	lemma/5477
edonis	N3B	f	NpC	2	1	0	0	2	0	53191(27673),53190(27672)	lemma/5659
epicharmius	N2/1	*	Af-	2	1	0	1	1	0	53554(29151),14084(e1956)	lemma/102539
esaias	N1	m	NpA	2	1	0	0	2	0	53808(29828),53809(29829)	lemma/6388
eso	N3B	m	NpC	2	1	0	0	2	0	53828(29875),53827(29874)	lemma/6408
eueruulfus	N2	m	NpB	2	1	0	0	2	0	53983(30130),53984(30551)	lemma/6569
eumedon	N3B	m	NpC	2	1	0	0	2	0	54031(30188),54032(30189)	lemma/6613
eurinus	N2/1	*	Af-	2	1	0	1	1	0	14580(e1143),54122(30321)	lemma/101691
euripides	N3B	m	NpC	2	1	0	0	2	0	54123(30323),54124(30324)	lemma/6713
euripideus	N2/1	*	Af-	2	1	0	1	1	0	54125(30325),14582(e1964)	lemma/102547
eurous	N2/1	*	Af-	2	1	0	1	1	0	14589(e1151),54143(30351)	lemma/101700
eutropius	N2	m	NpB	2	1	0	0	2	0	54231(30454),54232(30455)	lemma/6830
euxinus	N2/1	*	Af-	2	1	0	1	1	0	54243(30466),14604(e1164)	lemma/101714
fabius	N2/1	*	Af-	2	1	0	0	2	0	54296(32012),54297(32013)	lemma/6989
fabricius	N2/1	*	Af-	2	1	0	1	1	0	15475(f0020),54303(32038)	lemma/102724
facundus	N2/1	*	Af-	2	1	0	1	1	0	15531(f0070),54314(32129)	lemma/102781
faliscus	N2/1	*	Af-	2	1	0	1	1	0	15587(f0121),54352(32208)	lemma/102839
fecundus	N2/1	*	Af-	2	1	0	1	1	0	15809(f0319),54446(32634)	lemma/103060
festinus	N2/1	*	Af-	2	1	0	1	1	0	15938(f0432),54513(32922)	lemma/103184
festiuus	N2/1	*	Af-	2	1	0	1	1	0	15942(f0437),54514(32930)	lemma/103190
fidicinius	N2/1	*	Af-	2	1	0	1	1	0	16018(f9499),54549(33065)	lemma/104202
fidus	N2/1	*	Af-	2	1	0	1	1	0	16029(f0507),54554(33088)	lemma/103275
flaminius	N2/1	*	Af-	2	1	0	1	1	0	16170(f0622),54607(33343)	lemma/103400
flumen	N3B	n	NpC	2	1	0	0	2	0	54650(33555),54651(33557)	lemma/7348
fons	N3B	m	NpC	2	1	0	0	2	0	54674(33744),54675(33746)	lemma/7386
fretensis	N3A	*	Af-	2	1	0	1	1	0	16587(f0979),54761(34154)	lemma/103787
fundanus	N2/1	*	Af-	2	1	0	1	1	0	54819(34553),16824(f1166)	lemma/104002
fuscus	N2/1	*	Af-	2	1	0	1	1	0	54835(34730),16921(f1246)	lemma/104092
gallicus	N2/1	*	Af-	2	1	0	1	1	0	17015(g0050),54968(34999)	lemma/104303
gallinarius	N2/1	*	Af-	2	1	0	1	1	0	17021(g0059),54973(35013)	lemma/104314
gehennalis	N3A	*	Af-	2	1	0	1	1	0	17094(g0119),55103(35264)	lemma/104388
gemelli	N2/1	*	Af-	2	1	0	0	2	0	55136(35317),55137(35318)	lemma/7948
genetiuus	N2/1	*	Af-	2	1	0	1	1	0	55155(35411),17166(g0181)	lemma/104463
gerulus	N2/1	*	Af-	2	1	0	1	1	0	17252(g0252),55243(35626)	lemma/104550
glaucus	N2/1	*	Af-	2	1	0	1	1	0	17366(g0361),55350(35891)	lemma/104663
gratus	N2/1	*	Af-	2	1	0	1	1	0	17594(g0579),55526(36405)	lemma/104886
hanhaualdus	N2	m	NpB	2	1	0	0	2	0	55817(37069),55818(37070)	lemma/8683
heles	N3B	m	NpC	2	1	0	0	2	0	55975(37368),55976(37369)	lemma/8851
heluius	N2/1	*	Af-	2	1	0	1	1	0	17964(h0208),56050(37496)	lemma/105275
hermidius	N2/1	*	Af-	2	1	0	0	2	0	56191(37796),56192(37797)	lemma/9097
herous	N2/1	*	Af-	2	1	0	1	1	0	18084(h0318),56255(37883)	lemma/105402
hilarus	N2/1	*	Af-	2	1	0	1	1	0	18162(h0388),56385(38148)	lemma/105484
hortensius	N2/1	*	Af-	2	1	0	1	1	0	56586(38696),18411(h0247)	lemma/105319
i	N	2	NpP	2	1	0	0	2	0	56774(44539),56773(39211)	lemma/9764
iana	N1	f	NpA	2	1	0	0	2	0	56820(44617),56819(39251)	lemma/9798
ianthinus	N2/1	*	Af-	2	1	0	1	1	0	18688(i0033),56832(39257)	lemma/106036
iarcas	N1	m	NpA	2	1	0	0	2	0	56857(39279),56858(44640)	lemma/9822
ibycius	N2/1	*	Af-	2	1	0	1	1	0	56915(39357),18709(i3120)	lemma/109305
icilius	N2/1	*	Af-	2	1	0	0	2	0	56950(39401),56951(39402)	lemma/9915
idomeneus	N2/1	*	Af-	2	1	0	0	2	0	56999(39509),57000(39510)	lemma/9965
ieremias	N1	m	NpA	2	1	0	0	2	0	57027(44680),57026(39539)	lemma/9980
iericho	N	f	NpP	2	1	0	0	2	0	57028(39540),57029(44681)	lemma/9982
ierosolyma	N1	f	NpA	2	1	0	0	2	0	57034(39541),57035(44686)	lemma/9983
inalpinus	N2/1	*	Af-	2	1	0	1	1	0	19460(i0744),57187(40691)	lemma/106791
innocens	N3B	m	NpC	2	1	0	0	2	0	57242(42429),57241(42428)	lemma/10383
interamnus	N2/1	*	Af-	2	1	0	1	1	0	57280(43180),21191(i2261)	lemma/108401
isaac	N	m	NpP	2	1	0	0	2	0	57461(44274),57460(44273)	lemma/10606
iucundus	N2/1	*	Af-	2	1	0	1	1	0	22019(i2989),57626(44794)	lemma/109160
iulius	N2/1	*	Af-	2	1	0	1	1	0	57657(44892),22068(i3221)	lemma/109411
iurarius	N2/1	*	Af-	2	1	0	1	1	0	22095(i3049),57673(44943)	lemma/109228
iustus	N2/1	*	Af-	2	1	0	1	1	0	22146(i3087),57689(45026)	lemma/109268
laconicus	N2/1	*	Af-	2	1	0	1	1	0	22265(l9068),57790(45255)	lemma/111108
laodice	N1	f	NpA	2	1	0	0	2	0	57988(45781),57987(45780)	lemma/11317
lar	N3B	m	NpC	2	1	0	0	2	0	58031(45884),58030(45883)	lemma/11365
laserpiciarius	N2/1	*	Af-	2	1	0	1	1	0	22555(l0328),58083(45999)	lemma/109976
laterensis	N3A	*	Af-	2	1	0	1	1	0	22582(l0349),58105(46054)	lemma/110001
leander	N2	m	NpB	2	1	0	0	2	0	58228(46342),58229(46343)	lemma/11571
lentulus	N2/1	*	Af-	2	1	0	1	1	0	58333(46601),22817(l0544)	lemma/110232
leoninus	N2/1	*	Af-	2	1	0	1	1	0	22825(l0551),58356(46634)	lemma/110239
lepidus	N2/1	*	Af-	2	1	0	1	1	0	22843(l0565),58385(46682)	lemma/110255
leui	N	m	NpP	2	1	0	0	2	0	58500(46913),58499(46912)	lemma/11866
libanus	N2	m	NpB	2	1	0	0	2	0	58529(46982),58530(46983)	lemma/11890
liberalis	N3A	*	Af-	2	1	0	1	1	0	58540(47021),22969(l0677)	lemma/110384
libertus	N2/1	*	Af-	2	1	0	1	1	0	22985(l0224),58549(47051)	lemma/109857
liburnicus	N2/1	*	Af-	2	1	0	1	1	0	23015(l9908),58591(47139)	lemma/111151
liburnus	N2/1	*	Af-	2	1	0	1	1	0	58593(47141),23016(l9906)	lemma/111148
liquidus	N2/1	*	Af-	2	1	0	1	1	0	23228(l0885),58732(47531)	lemma/110628
locrensis	N3A	*	Af-	2	1	0	0	2	0	58807(47737),58808(47738)	lemma/12205
lucanicus	N2/1	*	Af-	2	1	0	1	1	0	23442(l1070),58913(48029)	lemma/110839
lucanius	N2/1	*	Af-	2	1	0	1	1	0	58914(48030),23443(l1114)	lemma/110890
lucidus	N2/1	*	Af-	2	1	0	1	1	0	23464(l1086),58945(48085)	lemma/110859
lucifer	N2	m	NpB	2	1	0	0	2	0	58948(48089),58947(48088)	lemma/12367
