lemma	codlem	gen	codmorf	keep	throwLst
rito	V1		VmF	r1464	DC744
riuo	V1		VmF	r1465	DC75F
rostro	V1		VmF	r1475	DC8AB
rubrico	V1		VmF	r1481	DC938
rugio	V4		VmL	r1488	DC990
rumigo	V1		VmF	r1492	DC9B3
rumo	V1		VmF	r1495	DC9A5,DC9A6,DC9A7
saccello	V1		VmF	s0023	DCA8F
salso	V1		VmF	s0200	DCC2B
saluifico	V1		VmF	s0229	DCC9E
sancio	V4		VmL	s0267	DCCE9
sanctifico	V1		VmF	s0273	DCCEH
sario	V4		VmL	s0391	DCDA8
scalpello	V1		VmF	s0529	DCEF5
scarizo	V1		VmF	s0578	DCF7G
scopo	V1		VmF	s0707	DCH0F
scripturio	V4		VmL	s0773	DCHAF
seco	V1		VmF	s0864	DD065,DD066
secundo	V1		VmF	s0887	DD0B4
semisso	V1		VmF	s1151	DD1DG
sensifico	V1		VmF	s1223	DD241
sentino	V1		VmF	s1241	DD264
sentio	V4		VmL	s1243	DD266,DD267
sepulto	V1		VmF	s1332	DD2D0
simplico	V1		VmF	s1703	DD58H
simplo	V1		VmF	s1705	DD58D
sinapizo	V1		VmF	s1729	DD5AG
sobrio	V1		VmF	s1835	DD686
soccito	V1		VmF	s1838	DD698
solor	V1		VmF	s1937	DD6G3
sospito	V1		VmF	s2046	DD846
splendico	V1		VmF	s2230	DD9FB
splendido	V1		VmF	s2231	DD9FD
splendifico	V1		VmF	s2233	DD9FF
sponso	V1		VmF	s2276	DDA0G
stabilito	V1		VmF	s2342	DDA8A,DDA8B,DDA8C
stello	V1		VmF	s2424	DDBD4,DDBD5
stilo	V1		VmF	s2479	DDC38
stipendior	V1		VmF	s2497	DDC6D
sto	V1		VmF	s1430	DDB54,DDB55
strepito	V1		VmF	s2585	DDD3H
stupido	V1		VmF	s2669	DDDGG
subarro	V1		VmF	s2755	DDE4B,DDE4A
subito	V1		VmF	s2909	DDED4,DDED5
subluco	V1		VmF	s2954	DDEG3
subneruo	V1		VmF	s2998	DDF04
subo	V1		VmF	s3008	DDE43
subtilio	V1		VmF	s3211	DDF9D,DDF9E
suffulcio	V4		VmL	s3389	DDG4F
suffumo	V1		VmF	s3394	DDG4H
summo	V1		VmF	s3447	DDGAD,DDGAE,DDGAF,DDGAG,DDGAC
supererogo	V1		VmF	s3534	DDH22
supernauigo	V1		VmF	s3643	DDH6A
superordino	V1		VmF	s3656	DDH6G
supersto	V1		VmF	s3700	DDH9C
superuenio	V4		VmL	s3725	DDHAG
superundo	V1		VmF	s3731	DDHBD
suppedio	V4		VmL	DDHCG	DDHCH
suppetior	V1		VmF	s3754	DDHD8
surdo	V1		VmF	s3827	DE022
surio	V4		VmL	s3831	DE036
