LiLaRef	LemLatLST	lemmaLST
lemma/112570	119946(D9B1H),25081(m1206)	molacio,molatio
lemma/112578	119943(D9B6H),25089(m1213)	moles,molis
lemma/112591	119941(D9B6E),25100(m1223)	molio,molior
lemma/112592	120025(D9B70),25017(m1224)	mo"li"tio,molitio
lemma/112619	120025(D9B70),25020(m1247)	mo'li'tio,molitio
lemma/112643	120111(D9BCC),25149(m1270)	monachus,monacus
lemma/112663	120155(D9BEH),25165(m1290)	monela,monella
lemma/112803	120307(D9C7E),25312(m1416)	moro,moror
lemma/112805	120430(D9CD9),25019(m1418)	mo"ro"sus,morosus
lemma/112847	120430(D9CD9),25022(m1455)	mo'ro"sus,morosus
lemma/112864	120683(D9DAG),25362(m1471)	mu"cus,muccus
lemma/112909	120074(D9BA3),120756(D9DEF),25430(m1613)	molta,mulcta,multa
lemma/112914	120827(D9E11),25435(m1617)	multaticius,multatitius
lemma/112964	120679(D9DBF),25365(m1662)	mu'cus,mucus
lemma/113055	120940(D9E7B),25580(m1745)	municio,munitio
lemma/113119	121119(D9F05),25647(m1816)	musclus,musculus
lemma/113129	121155(D9F2D),25656(m1826)	musimo,musmo
lemma/113146	121181(D9F45),25674(m1844)	mustricola,mustricula
lemma/113169	121212(D9F68),121216(D9F6G),25709(m1865)	mutinium,mutonium,mutunium
lemma/113172	121217(D9F6D),25702(m1868)	muto,mutto
lemma/113178	121229(D9F7B),25368(m1874)	mu'tulus,mutulus
lemma/113181	121224(D9F75),25710(m1876)	mutuo,mutuor
lemma/113201	121246(D9F8A),25731(m1892)	myoparo,myoparon
lemma/113209	119131(D986G),120604(D9D5E),25739(m1897)	metacismus,motacismus,myotacismus
lemma/113240	119698(D9A5B),25783(m1933)	misterium,mysterium
lemma/113256	119771(D9AB9),25799(m1947)	mixus,myxus
lemma/113261	119592(D99H1),121052(D9EEC),25760(m1950)	mirta,murta,myrta
lemma/113286	148246(D920H),24091(m9607)	manu-mitto,manumitto
lemma/113314	119336(D9917),24777(m9986)	mi'liarius,miliarius
lemma/113316	119335(D9916),24776(m9986)	mi'liarium,miliarium
lemma/113392	121592(D9GB6),25854(n0048)	nassa,naxa
lemma/113394	119794(D9ABF),25855(n0050)	mnasiterna,nassiterna
lemma/113444	121509(D9G5B),25910(n0090)	naucella,nauicella
lemma/113445	121512(D9G5G),25911(n0091)	naucula,nauicula
lemma/113460	121279(D9FAE),25922(n0103)	nabis,nauis
lemma/113466	150083(D7197),25929(n0108)	gnauo,nauo
lemma/113471	121578(D9GA5),25934(n0113)	nausea,nausia
lemma/113707	121861(D9H9B),26201(n0321)	nitedula,nitela
lemma/113709	121861(D9H9B),26138(n0323)	ni'tela,nitela
lemma/113728	122122(DA07C),26396(n0341)	nouemdiale,nouendiale
lemma/113732	122255(DA0FG),26540(n0344)	nuncius,nuntius
lemma/113736	122300(DA10G),26572(n0348)	nutricius,nutritius
lemma/113739	122299(DA10F),26570(n0351)	nutricium,nutritium
lemma/113751	106748(D719B),26237(n0445)	gnobilis,nobilis
lemma/113793	121982(D9HH3),26235(n0488)	no'la,nola
lemma/113811	122247(DA0F7),26299(n0506)	nomisma,numisma
lemma/113840	152722(D719E),26346(n0534)	gnosco,nosco
lemma/113853	62188(55561),26361(n0545)	nothus,notus
lemma/113909	122173(DA0B0),26422(n0595)	nubecula,nubicula
lemma/114013	122179(DA0B9),26545(n0695)	nubtiae,nuptiae
lemma/114125	121982(D9HH3),26234(n9763)	no"la,nola
lemma/114178	122360(DA14C),26609(o0007)	obaeratus,oberatus
lemma/114323	122341(DA139),26768(o0144)	obedientia,oboedientia
lemma/114336	122354(DA145),26770(o0157)	obeditio,oboeditio
lemma/114396	122493(DA1D3),26827(o0212)	obsequela,obsequella
lemma/114429	122524(DA1F2),26860(o0241)	obsidio,obsidior
lemma/114464	123437(DA50H),26896(o0271)	obsto,osto
lemma/114577	149527(DA12G),27024(o0379)	obcanto,occento
lemma/114623	151282(DA132),27071(o0420)	obcurro,occurro
lemma/114644	122628(DA24C),27094(o0436)	oclopecta,oclopeta
lemma/114729	122686(DA297),27180(o0513)	odi'um,odium
lemma/114794	123422(DA4H1),27813(o0572)	ossarium,ossuarium
lemma/114801	123495(DA53B),27852(o0576)	ostrea,ostria
lemma/114813	122366(DA151),27265(o0587)	obfirmatio,offirmatio
lemma/114816	147734(D5842),27268(o0590)	effoco,offoco
lemma/114839	122830(DA2H6),27284(o0613)	oica,olca
lemma/114904	122821(DA2GF),27342(o0672)	ola,olla
lemma/114910	78872(D1CF8),27350(o0679)	aulula,ollula
lemma/115001	109194(D79E3),27443(o0768)	honus,onus
lemma/115029	122971(DA385),27472(o0793)	opero,operor
lemma/115068	123036(DA3B7),27515(o0829)	opiniosus,opinosus
lemma/115108	148341(DA3C9),148342(DA3CA),27554(o0862)	oppi'lo,oppilo
lemma/115116	123022(DA3A7),27562(o0869)	opidum,oppidum
lemma/115121	148341(DA3C9),148342(DA3CA),27553(o0874)	oppi"lo,oppilo
lemma/115124	149337(DA1B0),27569(o0877)	obpono,oppono
lemma/115176	78915(D1D06),27622(o0925)	auraculum,oraculum
lemma/115325	123247(DA46H),123270(DA486)	oridia,oriza
lemma/115362	123431(DA4HA),27815(o1094)	ossosus,ossuosus
lemma/115404	79046(D1D91),27863(o1132)	austrum,ostrum
lemma/115452	123576(DA58F),27915(o1173)	oxiblatta,oxyblatta
lemma/115454	123577(DA58G),27917(o1175)	oxicominum,oxycominum
lemma/115479	123597(DA59F),27940(o1195)	ozaena,ozina
lemma/115585	125998(DAD9E),28006(p0018)	paenula,penula
lemma/115592	123623(DA5C9),123729(DA612),27967(p0023)	paco,pago
lemma/115610	125616(DAC4B),27989(p0039)	paedia,pedia
lemma/115616	125658(DAC71),27995(p0045)	paedor,pedor
lemma/115625	128094(DB2B3),28005(p0053)	paenitudo,poenitudo
lemma/115628	125999(DAD9F),28010(p0056)	paenulatus,penulatus
lemma/115634	126728(DAG2G),28014(p0061)	paeonia,pheonia
lemma/115652	126676(DAFHH),28035(p0076)	pagus,phagus
lemma/115657	123929(DA6B2),28041(p0081)	palaestra,palestra
lemma/115663	123928(DA6B3),28046(p0084)	palaestro,palestro
lemma/115670	127644(DB131),28052(p0089)	palasea,plasea
lemma/115671	123870(DA67B),28053(p0090)	palata,palatha
lemma/115672	123874(DA685),28054(p0091)	palathium,palatium
lemma/115737	123831(DA670),123832(DA671),123833(DA672),28116(p0148)	palo,palor
lemma/115825	123623(DA5C9),123729(DA612),28203(p0223)	paco,pago,pango
lemma/115828	124362(DA81B),124363(DA81C),28206(p0226)	panicula,panucla,panucula
lemma/115830	124240(DA7C5),124233(DA7C8),28210(p0227)	panichium,panicium,panicum
lemma/115892	124374(DA831),28268(p0276)	papo,pappo
lemma/115911	124455(DA86G),28284(p0294)	paracenterium,paracentherium
lemma/116027	124671(DA91B),28397(p0387)	parentesis,parenthesis
lemma/116062	124777(DA97A),28442(p0420)	paro,paron
lemma/116065	124766(DA97C),28438(p0423)	parochia,paroecia
lemma/116072	124531(DA8B9),124545(DA8C9),28446(p0430)	parapsis,parasis,paropsis
lemma/116087	124626(DA8H2),28461(p0443)	parcimonium,parsimonium
lemma/116113	124904(DA9F5),28489(p0468)	partio,partior
lemma/116138	124975(DAA22),28515(p0492)	pascalis,pascualis
lemma/116153	125033(DAA54),28527(p0503)	passarius,passerarius
lemma/116246	148361(DAB33),28631(p0586)	patrisso,patrizo
lemma/116294	125375(DAB8H),28685(p0625)	paullus,paulus
lemma/116407	125637(DAC5A),28821(p0727)	pediculo,peduculo
lemma/116417	150598(DAE89),28831(p0736)	peiero,periuro
lemma/116432	125737(DACC4),28844(p0747)	pelecanus,pelicanus
lemma/116482	125898(DAD3B),28891(p0793)	penetral,penetrale
lemma/116630	126079(DADF0),29043(p0926)	perca,percha
lemma/116631	149884(DADEA),29044(p0927)	percaedo,percedo
lemma/116789	152783(DADD1),148380(DAE57),29198(p1079)	peranno,perenno,perhenno
lemma/116900	129104(DB60E),129505(DB792),29314(p1188)	pergula,praecula,precula
lemma/117525	126555(DAFA7),29960(p1787)	peteredium,petheredium
lemma/117539	126628(DAFEF),29962(p1801)	petilus,petulus
lemma/117550	126582(DAFC3),29973(p1810)	petoritum,petorritum
lemma/117583	123792(DA635),30005(p1838)	pagrus,phager
lemma/117586	126679(DAFHF),30006(p1840)	phago,phagon
lemma/117588	101298(D612C),123857(DA66B),30008(p1842)	falanga,palanga,phalanga
lemma/117595	101369(D6172),30017(p1849)	falerae,phalerae
lemma/117601	123983(DA6HH),30022(p1854)	pallus,phallus
lemma/117629	101699(D628G),30052(p1880)	fasma,phasma
lemma/117671	127101(DAH6A),30095(p1921)	philtrum,piltrum
lemma/117676	102943(D66C4),30100(p1926)	flebotomia,phlebotomia
lemma/117678	102939(D66C1),149716(DB1B9),30102(p1928)	flebotomo,phlebotomo,plebotomo
lemma/117679	102938(D66C7),30103(p1929)	flebotomus,phlebotomus
lemma/117681	102957(D66D3),30104(p1930)	flegma,phlegma
lemma/117732	149989(DAG72),30156(p1979)	phthisisco,phtisisco
lemma/117746	102498(D6531),126737(DAG36),30169(p1993)	filacterium,philacterium,phylacterium
lemma/117778	126856(DAGA1),30215(p2023)	picea,pichea
lemma/117787	126983(DAGHH),126984(DAH00),126985(DAH01),126986(DAH02),126987(DAH03),126988(DAH04),126989(DAH05),126990(DAH06),126991(DAH07),126992(DAH08),126993(DAH09),126994(DAH0A),30191(p2030)	pi"la,pila
lemma/117788	126995(DAH6D),30194(p2030)	pi"lum,pilum
lemma/117792	126854(DAG9H),30211(p2034)	pica,picha
lemma/117806	126962(DAGGD),30242(p2046)	pignero,pignoro
lemma/117835	126998(DAH0H),126999(DAH11),127000(DAH12),30199(p2068)	pi'lo,pilo
lemma/117839	127080(DAH54),30270(p2071)	pillula,pilula
lemma/117840	127002(DAH70),30196(p2072)	pi"lus,pilus
lemma/117843	126983(DAGHH),126984(DAH00),126985(DAH01),126986(DAH02),126987(DAH03),126988(DAH04),126989(DAH05),126990(DAH06),126991(DAH07),126992(DAH08),126993(DAH09),126994(DAH0A),30197(p2074)	pi'la,pila
lemma/117844	127002(DAH70),30201(p2074)	pi'lus,pilus
lemma/117851	125843(DAD0E),30277(p2080)	penax,pinax
lemma/117862	126998(DAH0H),126999(DAH11),127000(DAH12),30193(p2089)	pi"lo,pilo
lemma/117903	127218(DAHDD),30331(p2126)	pipilo,pipulo
lemma/117913	131043(DBCE5),30340(p2134)	piracium,pyracium
lemma/117984	126883(DAGBC),30415(p2194)	pictaciolum,pittaciolum
lemma/118022	127506(DB0CF),127507(DB0CG),30431(p2229)	pla'ga,plaga
lemma/118023	127506(DB0CF),127507(DB0CG),30430(p2230)	pla"ga,plaga
lemma/118045	127559(DB0FC),30474(p2249)	planca,plancha
lemma/118121	127790(DB1B3),30556(p2311)	plebecula,plebicula
lemma/118250	128050(DB283),30696(p2423)	poderes,poderis
lemma/118271	148403(DB2BA),30717(p2441)	poeto,poetor
lemma/118307	128227(DB30F),30754(p2475)	polio,pollio
lemma/118313	128282(DB347),30761(p2480)	pollucio,pollutio
lemma/118360	128228(DB30H),130780(DBBH0),30810(p2517)	polipus,polypus,pulpus
lemma/118377	128348(DB386),30827(p2530)	pomerium,pomoerium
lemma/118457	128508(DB3HF),30907(p2601)	populneus,populnus
lemma/118459	128484(DB3GC),30908(p2602)	populo,populor
lemma/118463	128485(DB401),30683(p2606)	po'pulus,populus
lemma/118500	148407(DB43A),30950(p2638)	porgo,porrigo
lemma/118519	64972(64905),30964(p2654)	portensis,portuensis
lemma/118522	128699(DB4AH),30967(p2657)	portentosus,portentuosus
lemma/118538	128514(DB4FE),30684(p2669)	po'rus,porus
lemma/118546	128514(DB4FE),30681(p2677)	po"rus,porus
lemma/118547	130972(DBCA5),130973(DBCA6),30991(p2678)	posca,pusca,puscha
lemma/118552	125410(DABAD),128802(DB4HC),30996(p2683)	pausea,posia,possia
lemma/118634	149914(DB539),31090(p2753)	posthumo,postumo
lemma/118648	128927(DB575),31109(p2765)	potento,potentor
lemma/118677	129440(DB755),31134(p2787)	practicus,praticus
lemma/118703	129469(DB76D),31160(p2812)	praecanus,precanus
lemma/118715	129489(DB77G),31172(p2823)	praecentor,precentor
lemma/118778	149008(DB5HB),31242(p2880)	praecono,praeconor
lemma/118801	129507(DB795),31263(p2900)	praeda,preda
lemma/118858	129108(DB616),129506(DB797),31319(p2951)	praedo,praedor,predo
lemma/118939	148412(DB7A0),31406(p3029)	praegno,pregno
lemma/118981	129525(DB7A7),31450(p3071)	praelibatio,prelibatio
lemma/119030	129209(DB67E),31500(p3118)	praemio,praemior
lemma/119231	129616(DB7FB),31712(p3313)	praestator,prestator
lemma/119246	129612(DB7FA),31726(p3327)	praesto,presto
lemma/119310	131042(DBCF7),30346(p3389)	pirus,pyrus
lemma/119364	129380(DB714),31836(p3435)	praeuarico,praeuaricor
lemma/119430	129461(DB76E),31909(p3496)	preco,precor
lemma/119432	129540(DB7AE),31910(p3497)	prehendo,prendo
lemma/119475	129706(DB834),31954(p3539)	primigenius,primogenius
lemma/119521	129793(DB883),32003(p3583)	priuacio,priuatio
lemma/119580	129869(DB8CD),32061(p3637)	procacio,procatio
lemma/119592	129877(DB8D5),32076(p3649)	procastria,procestria
lemma/119696	151354(DB931),32182(p3747)	proelio,proelior
lemma/119697	129186(DB66F),32183(p3748)	praelium,proelium
lemma/119714	150872(DB94D),32206(p3764)	proficisco,proficiscor
lemma/119857	127917(DB20H),30549(p3899)	plaustrarius,plostrarius
lemma/119866	130114(DB9A8),32369(p3908)	promontorium,promunturium
lemma/119994	128555(DB425),30919(p4028)	porcellus,porcillus
lemma/120034	130264(DBA2A),32532(p4065)	prorsa,prosa
lemma/120064	125666(DAC7A),28805(p4093)	pediculus,peduclus
lemma/120137	130337(DBA79),32647(p4165)	protensio,protentio
lemma/120297	130576(DBB42),32814(p4321)	psiathium,psiatium
lemma/120358	128478(DB3G4),32875(p4377)	poplicus,publicus
lemma/120402	130669(DBB9A),32926(p4418),32928(p4418)	pugillo,pugilo,pugilor
lemma/120421	130721(DBBC9),32945(p4435)	pulcer,pulcher
lemma/120426	130725(DBBD1),32951(p4440)	pulegium,puleium
lemma/120525	126998(DAH0H),126999(DAH11),127000(DAH12),30200(p4534)	pi'lo,pilo
lemma/120639	127084(DAH5C),33169(p4641)	pilorus,pylorus
lemma/120651	127242(DAHF0),33181(p4652)	pirgus,pyrgus
lemma/120666	127260(DAHG0),33197(p4665)	pirula,pyrula
lemma/120674	127395(DB062),33205(p4673)	pitisso,pytisso
lemma/120680	127419(DB07E),33211(p4679)	pixis,pyxis
lemma/120769	101691(D6287),30043(p8874)	faseolus,phaseolus
lemma/120799	124720(DA949),28398(p9828)	parentia,parientia
lemma/120835	123648(DA5CD),27975(p9863)	pachtus,pactus
lemma/120839	126983(DAGHH),126984(DAH00),126985(DAH01),126986(DAH02),126987(DAH03),126988(DAH04),126989(DAH05),126990(DAH06),126991(DAH07),126992(DAH08),126993(DAH09),126994(DAH0A),30198(p9866)	pi'la,pila
lemma/120841	128202(DB2H7),30679(p9868)	po"li"a,polia
lemma/120972	131478(DBE51),33244(q0025)	quadriduanus,quatriduanus
lemma/121034	131163(DBD3A),33311(q0084)	quadripes,quadrupes
lemma/121047	131523(DBE7C),33323(q0096)	quaero,quero
lemma/121056	131554(DBE9C),33335(q0105)	quaestor,questor
lemma/121064	131555(DBE9E),33343(q0109)	quaestuosus,questuosus
lemma/121074	131222(DBD7B),33355(q0118)	quam-diu,quamdiu
lemma/121119	86882(D335F),86883(D335G),87006(D33B4),87007(D33B5),87008(D33B6),87009(D33B7),87010(D33B8),87011(D33B9),87012(D33BA),87013(D33BB),6044(q0155),6059(q0155),33400(q0155)	caso,casso,quasso
lemma/121148	131512(DBE72),33429(q0183)	querelo,querelor
lemma/121177	148455(DBEB5),33460(q0209)	quieto,quietor
lemma/121239	131628(DBEE9),33522(q0265)	quinquenium,quinquennium
lemma/121256	131636(DBEEE),33539(q0280)	quinqueplex,quinquiplex
lemma/121266	131101(DBCHB),33237(q0289)	quadrangulum,quadriangulum
lemma/121294	131178(DBD4F),33303(q0316)	quadriuium,quadruuium
lemma/121311	148452(DBE9B),33333(q9103)	quaestiono,questiono
lemma/121362	132041(DBG2D),132042(DBG2E),132043(DBG2F),33594(r0005)	ra"pina,rapina
lemma/121368	131807(DBF6H),131812(DBF76),131877(DBFB6),33608(r0011)	racana,rachana,rachena,raga
lemma/121386	132650(DC0B8),134081(DC67H),33634(r0029)	raeda,reda,rheda
lemma/121424	132041(DBG2D),132042(DBG2E),132043(DBG2F),33595(r0063)	ra'pina,rapina
lemma/121520	132426(DBHBD),33817(r0154)	recepticius,receptitius
lemma/121522	132458(DBHE2),33820(r0156)	receptor,recheptor
lemma/121531	132626(DC0A1),33838(r0165)	reciperatio,recuperatio
lemma/121533	132628(DC0A3),33840(r0167)	reciperator,recuperator
lemma/121671	132941(DC1FG),34132(r0303)	regimen,regmen
lemma/121771	134086(DC684),34321(r0399)	reno,rheno
lemma/121954	133807(DC562),34668(r0584)	rethiaculum,retiaculum
lemma/122030	134051(DC65D),34819(r0664)	reuma,rheuma
lemma/122031	134052(DC65E),34820(r0665)	reumaticus,rheumaticus
lemma/122048	134473(DC7D4),34836(r0680)	rhodinus,rodinus
lemma/122060	135033(DC9AB),34846(r0689)	rhombus,rumbus
lemma/122062	134620(DC846),34848(r0690)	rhonchus,ronchus
lemma/122081	132465(DBHEE),34867(r0708)	recinium,ricinium
lemma/122082	134139(DC6B7),34869(r0709)	richinus,ricinus
lemma/122126	134368(DC771),34931(r0755)	riuolus,riuulus
lemma/122134	65768(71786),34940(r0763)	robeus,rubeus
lemma/122321	134764(DC8C2),35181(r0945)	rotabulum,rutabulum
lemma/122329	135216(DCA37),35191(r0953)	ruthrum,rutrum
lemma/122340	131983(DBFH8),33609(r0962)	racco,ranco
lemma/122387	132629(DC09B),33842(r1006)	recipero,recupero
lemma/122397	148481(DBHGH),33865(r1016)	reclaudo,recludo
lemma/122425	148464(DBGFA),33747(r1044)	rauco,raucor
lemma/122430	132566(DC05A),33907(r1047)	recordo,recordor
lemma/122471	148515(DC25A),33995(r1088)	redintegro,reintegro
lemma/122481	148519(DC0DD),34012(r1098)	redduco,reduco
lemma/122501	151196(DC12D),34042(r1117)	refacio,reficio
lemma/122520	148531(DC183),34078(r1134)	refrago,refragor
lemma/122546	133007(DC21E),34158(r1159)	regulo,regulor
lemma/122549	152121(DC1F5),34161(r1161)	regiro,regyro
lemma/122572	133131(DC2BE),34218(r1183)	reliquo,reliquor
lemma/122601	149203(DC2H8),34267(r1208)	reminisco,reminiscor
lemma/122615	148569(DC32G),34303(r1232)	remunero,remuneror
lemma/122689	149393(DC41G),34466(r1304)	repuerasco,repueresco
lemma/122775	148609(DC537),34673(r1388)	retaceo,reticeo
lemma/122809	134018(DC635),34762(r1434)	reuerto,reuertor
lemma/122827	149904(DC686),34814(r1451)	rhetorico,rhetoricor
lemma/122830	151531(DC65F),34822(r1453)	reumatizo,rheumatizo
lemma/122841	134210(DC6G1),34900(r1461)	rimo,rimor
lemma/122848	151096(DC926),34941(r1467)	robigino,rubigino
lemma/122854	134629(DC83G),34971(r1473)	roncho,ronco
lemma/122864	152482(DC956),35060(r1482)	ructo,ructuor
lemma/122888	135180(DCA0F),35162(r1501)	ruspo,ruspor
lemma/122964	148616(DC5C1),34715(r8002)	retro-ago,retroago
lemma/122968	148617(DC5DB),34719(r8006)	retro-flecto,retroflecto
lemma/122972	148619(DC5F9),34722(r8010)	retro-uerto,retrouerto
lemma/123046	135348(DCAAH),135378(DCAC8),35226(s0025)	saccellus,sacellus,sachellus
lemma/123062	136930(DCFF0),137698(DD070),35242(s0039)	sacena,scena,secena
lemma/123103	137766(DD0B0),35283(s0073)	saecularis,secularis
lemma/123105	137765(DD0B2),35285(s0075)	saeculum,seculum
lemma/123117	138359(DD29E),35296(s0087)	saeptatus,septatus
lemma/123120	138760(DD3G0),35301(s0090)	saeta,seta
lemma/123121	138777(DD3H0),35302(s0091)	saetiger,setiger
lemma/123125	148670(DD410),35306(s0095)	saeuio,seuio
lemma/123197	135708(DCBE6),35375(s0158)	salicetum,salictetum
lemma/123232	135786(DCC0H),35414(s0191)	salmentum,salsamentum
lemma/123252	135856(DCC4F),35435(s0210)	saltem,saltim
lemma/123295	137356(DCH4D),36003(s0251)	scortea,scortia
lemma/123376	66163(73031),35553(s0329)	sangualis,sanqualis
lemma/123379	136130(DCD37),35556(s0332)	sapa,sapha
lemma/123405	136203(DCD72),35584(s0357)	sarca,sarcha
lemma/123443	136254(DCDA9),35625(s0393)	sarisa,sarissa
lemma/123516	136366(DCDH0),35699(s0460)	satirus,satyrus
lemma/123559	136502(DCE7D),35742(s0500)	scabellum,scabillum
lemma/123574	136930(DCFF0),35756(s0514)	scaena,scena
lemma/123614	136710(DCF1D),136711(DCF1E),35797(s0549)	scandala,scandula
lemma/123619	136710(DCF1D),136711(DCF1E),137029(DCG2H),137129(DCG90),35802(s0554)	scandula,schindula,scindula
lemma/123624	136688(DCF05),35807(s0559)	scancio,scansio
lemma/123626	136730(DCF30),136976(DCFHF),35809(s0561)	scapa,scapha,schapha
lemma/123629	139722(DD718),139793(DD766),37294(s0564)	solemnis,sollemnis,sollempnis
lemma/123634	136747(DCF40),35815(s0569)	scapla,scapula
lemma/123670	136942(DCFFD),35853(s0604)	scenopegia,scenophegia
lemma/123677	137096(DCG72),35867(s0611)	schida,scida
lemma/123681	136903(DCFD8),35863(s0613)	scedula,schedula
lemma/123684	136921(DCFE8),35864(s0614)	scema,schema
lemma/123688	137169(DCGB4),35870(s0618)	schisma,scisma
lemma/123693	136939(DCFF9),35874(s0622)	scenobates,schoenobates
lemma/123697	140681(DDA6D),35876(s0624)	schoinuanthos,squinantum
lemma/123701	137255(DCGG8),35878(s0626)	scholares,scolares
lemma/123718	137106(DCG7C),140675(DDA66),35897(s0641)	scilla,squilla
lemma/123725	89286(D3B14),137130(DCG91),35904(s0648)	cinifes,scinifes,sciniphes
lemma/123781	137281(DCH0A),137282(DCH0B),35952(s0702)	sco'pa,scopa
lemma/123807	137337(DCH3F),35993(s0727)	scorofio,scorpio
lemma/123895	137567(DCHH6),36081(s0809)	sculptor,scultor
lemma/123907	137082(DCG66),36095(s0821)	schutarius,scutarius
lemma/123913	137610(DD01G),36101(s0826)	scuta,scutra
lemma/123940	138798(DD41G),36134(s0851)	sebum,seuum
lemma/123943	138957(DD49H),36137(s0854)	secale,sicale
lemma/123994	138759(DD3FH),36193(s0902)	sed,set
lemma/124333	151764(DD25G),36532(s1223)	sensifico,sentifico
lemma/124368	138322(DD283),35286(s1258)	saeparius,separius
lemma/124374	135460(DCAHF),36573(s1263)	saepia,sepia
lemma/124427	138368(DD2A5),36624(s1315)	septemzodium,septizonium
lemma/124450	138421(DD2DC),36648(s1338)	sequela,sequella
lemma/124461	137797(DD2F3),36658(s1348),36148(s1348)	secor,sequor
lemma/124463	138458(DD2G2),138459(DD2G3),138460(DD2G4),36124(s1349)	se'ra,sera
lemma/124475	138521(DD31C),138522(DD31D),36121(s1360)	se"ria,seria
lemma/124481	138521(DD31C),138522(DD31D),36125(s1366)	se'ria,seria
lemma/124492	138521(DD31C),138522(DD31D),36122(s1375)	se"ria,seria
lemma/124518	138589(DD363),36717(s1398)	serpillum,serpullum
lemma/124522	136281(DCDC4),36721(s1402)	sarracum,serracum
lemma/124524	136289(DCDC8),36723(s1404)	sarralia,serralia
lemma/124556	138458(DD2G2),138459(DD2G3),138460(DD2G4),36120(s1431)	se"ra,sera
lemma/124557	138455(DD3CE),36123(s1431)	se"rum,serum
lemma/124603	138711(DD3D5),36802(s1475)	sescuplus,sesquiplus
lemma/124687	138950(DD49C),39454(s1553)	sibyna,sybina
lemma/124691	138980(DD4B7),36888(s1556)	sica,sicha
lemma/124738	139049(DD4F1),36936(s1602)	sigillaricius,sigillaritius
lemma/124745	139226(DD581),36943(s1608)	sigma,simma
lemma/124801	143107(DE0C9),37005(s1661)	silua,sylua
lemma/124802	143108(DE0CA),37006(s1662)	siluaticus,syluaticus
lemma/124816	138913(DD471),37669(s1676)	sfungia,spongia
lemma/124820	139253(DD59G),37023(s1679)	simila,simula
lemma/124870	143110(DE0DF),37075(s1726)	simus,symus
lemma/124882	143157(DE0F8),37087(s1736)	sindon,syndon
lemma/124918	135241(DD643),37121(s1765)	sion,sium
lemma/124919	139353(DD5G4),37122(s1766)	siparium,sipharium
lemma/124942	139391(DD609),37148(s1789)	sisara,sisera
lemma/124950	139399(DD60H),37155(s1797)	sisimbrium,sisymbrium
lemma/124976	139494(DD66C),37184(s1823)	smegma,smigma
lemma/124995	139580(DD6BB),37206(s1841)	socera,socra
lemma/125014	137710(DD07E),37222(s1856)	secordia,socordia
lemma/125029	139680(DD6H1),37237(s1869)	solacium,solatium
lemma/125062	139719(DD715),37275(s1901)	soledus,solidus
lemma/125079	139717(DD729),37292(s1918)	soleum,solium
lemma/125081	139725(DD719),37295(s1920)	solemnitas,sollemnitas
lemma/125083	150831(DD768),37297(s1922)	sollemnizo,sollempnizo
lemma/125123	139867(DD7B0),37337(s1961)	somnio,somnior
lemma/125180	140015(DD820),140011(DD821),140012(DD822),140014(DD823),140013(DD824),37391(s2009)	sordes,sors
lemma/125212	140032(DD834),37420(s2036)	sortio,sortior
lemma/125216	139407(DD616),37425(s2040)	sispes,sospes
lemma/125240	148689(DD958),37448(s2064)	spargo,spergo
lemma/125261	140241(DD8F5),37470(s2082)	spatarius,spatharius
lemma/125263	140230(DD8EF),37471(s2083)	spata,spatha
lemma/125268	140250(DD8FF),37475(s2087)	spatio,spatior
lemma/125271	140240(DD8F9),37478(s2090)	spathium,spatium
lemma/125273	140246(DD8FB),140258(DD8G8),140259(DD8G9),140260(DD8GA),37480(s2092)	spathula,spatula
lemma/125301	140318(DD923),140319(DD924),37483(s2120)	spe'cula,specula
lemma/125310	140429(DD98B),37522(s2128)	speculator,spiculator
lemma/125348	140389(DD966),37556(s2161)	speroides,sphaeroides
lemma/125355	140477(DD9BD),37563(s2168)	sphingatus,spingatus
lemma/125395	140367(DD94B),37602(s2204)	spera,spira
lemma/125404	140516(DD9E1),37612(s2213)	spiritalis,spiritualis
lemma/125467	140584(DDA0D),37680(s2272)	sponsalicius,sponsalitius
lemma/125535	137106(DCG7C),140675(DDA66),37753(s2335)	scilla,squilla
lemma/125621	141107(DDBCH),141108(DDBD0),141109(DDBD1),141110(DDBD2),141111(DDBD3),37841(s2412)	stela,stella
lemma/125635	138990(DD4BH),37084(s2425)	sicinium,sincinium
lemma/125652	141201(DDC0E),37871(s2441)	sterculinum,sterquilinium
lemma/125691	141254(DDC3B),37909(s2476)	stilicidium,stillicidium
lemma/125696	141818(DDE10),37913(s2480)	stilus,stylus
lemma/125707	141312(DDC74),37924(s2490)	stipa,stipha
lemma/125726	141324(DDC7G),37942(s2508)	stipulo,stipulor
lemma/125733	141331(DDC8B),37950(s2515)	stirpes,stirps
lemma/125735	141349(DDC98),37953(s2517)	stlata,stlatta
lemma/125764	141416(DDCD5),38153(s2544)	storax,styrax
lemma/125767	141424(DDCD9),141425(DDCDA),141426(DDCDB),37984(s2546)	storea,storia
lemma/125805	141445(DDCEF),38026(s2579)	straba,straua
lemma/125807	141558(DDD36),38028(s2581)	strena,strenua
lemma/125851	141659(DDD99),38078(s2624)	strofa,stropha
lemma/125860	141674(DDDB2),38087(s2632)	strophus,stropus
lemma/125876	141688(DDDB1),38105(s2648)	stroppus,struppus
lemma/125904	141776(DDDG4),141782(DDDGD),38134(s2673)	stupa,stupha,stuppa
lemma/125922	141320(DDC7C),38151(s2690)	stipticus,stypticus
