c{+h+}a	172
o{+r+}	90
c[-h-]i	55
c[-h-]o	41
c{+h+}e	34
r[-a-]e	33
c[-a-]e	29
[-a-]e	29
t{+h+}e	26
t{+h+}a	25
c[-h-]u	24
{+h+}a	21
i[-c-]{+t+}i	20
t[-h-]u	16
p{+h+}a	15
h[-a-]e	15
a[-d-]{+s+}s	15
t[-h-]o	14
t[-h-]i	14
s[-a-]e	14
a[-c-]{+t+}i	14
u[-a-]e	12
l[-a-]e	12
a[-i-]{+y+}s	12
a[-d-]{+p+}p	12
l{+l+}a	10
i[-n-]{+r+}r	10
[-h-]o	10
p[-h-]i	9
i[-l-]{+n+}l	9
{+h+}e	9
c[-h-]r	9
a[-i-]{+y+}r	9
a[-d-]{+t+}t	9
a[-d-]s	9
s{+s+}a	8
p[-i-]{+y+}r	8
p[-a-]e	8
i[-m-]{+n+}p	8
[-h-]u	8
c[-h-]l	8
a[-d-]{+f+}f	8
l{+l+}i	7
t[-i-]{+y+}r	6
r{+h+}e	6
r[-e-]{+i+}a	6
p[-h-]u	6
o{+n+}	6
m[-i-]n	6
m[-a-]e	6
l[-i-]{+y+}p	6
l[-e-]{+i+}u	6
e[-i-]{+y+}a	6
c[-e-]{+i+}a	6
a[-i-]{+y+}n	6
a[-d-]{+n+}n	6
x{+s+}e	5
u[-o-]{+u+}l	5
t{+u+}o	5
t[-h-]r	5
r{+r+}i	5
p[-a-]{+e+}r	5
m[-i-]{+u+}l	5
[-i-]{+y+}d	5
[-h-]i	5
[-f-]{+ph+}a	5
f[-a-]e	5
e[-i-]{+y+}t	5
e[-i-]{+y+}r	5
c{+u+}l	5
b{+u+}l	5
[-b-]{+u+}a	5
a[-i-]{+y+}t	5
a[-d-]{+m+}m	5
x{+s+}p	4
x{+s+}c	4
t[-a-]e	4
s[-i-]{+y+}n	4
s[-i-]{+y+}l	4
r[-h-]o	4
o[-l-]{+n+}l	4
n[-n-]u	4
n{+n+}i	4
n[-e-]u	4
l[-o-]{+u+}s	4
l[-l-]u	4
[-g-]n	4
g[-i-]{+y+}r	4
[-f-]{+ph+}l	4
e[-i-]{+y+}s	4
d[-a-]e	4
c{+o+}e	4
