codlem	gen	codmorf	LiLaRef	n_id	lemma	Throw_n_id	Throw_lemma	chk
N1	f	NcA	lemma/87221	a0370	achora	D041H	acora	OK
N2	n	NcB	lemma/88343	a1373	aquifolium	D0458	acrifolium	OK
N3B	n	NcC	lemma/87281	a0422	acroama	D0471	acroma	OK
N1	f	NcA	lemma/89692	a2585	aqua	D04D1	acua	OK
N2	n	NcB	lemma/27081	D04E1	acuidamentum	D04GF	acuydamentum	NO
V1		VmF	lemma/27082	D04E2	acuido	D04GG	acuydo	NO
N3A	*	Af-	lemma/27117	D03GC	aciralis	D04H0	acyralis	NO
N2	n	NcB	lemma/27118	D03H2	acisterium	D04H1	acysterium	NO
V1		VmF	lemma/86856	a0030	abbreuio	D053E	adbreuio	OK
N1	f	NcA	lemma/27188	D02B0	accensa	D0542	adcensa	NO
V1		VmF	lemma/87127	a0283	acclamo	D054E	adclamo	OK
V3		VmH	lemma/87136	a0291	accognosco	D0553	adcognosco	OK
V1		VmF	lemma/87145	a0300	accorporo	D0558	adcorporo	OK
N3B	f	NcC	lemma/87399	a0533	additio	D056C	addicio	NO
V1		VmF	lemma/87348	a0483	adaequo	D0589	adequo	NO
V1		VmF	lemma/87350	a0485	adaero	D058F	adero	NO
N2/1	*	Af-	lemma/87981	a1060	affaber	D0599	adfaber	OK
N3B	f	NcC	lemma/87988	a1067	affatio	D059C	adfatio	OK
N2/1	*	Af-	lemma/88000	a1078	affectuosus	D059H	adfectuosus	OK
V3		VmH	lemma/88006	a1084	affigo	D05A6	adfigo	OK
V1		VmF	lemma/88007	a1085	affiguro	D05A7	adfiguro	OK
V1		VmF	lemma/88027	a1105	afflo	D05A9	adflo	OK
V1		VmF	lemma/27961	D08E7	afforo	D05AA	adforo	NO
V1		VmF	lemma/88042	a1120	affurcillo	D05AG	adfurcillo	OK
V1		VmF	lemma/88068	a1144	aggeniculor	D05B0	adgeniculor	OK
V1		VmF	lemma/88078	a1154	agglutino	D05B6	adglutino	OK
V3		VmH	lemma/88110	a1183	agnascor	D05B8	adgnascor	OK
V1		VmF	lemma/88081	a1157	aggrauo	D05BA	adgrauo	OK
V1		VmF	lemma/88373	a1403	allego	D0602	adlego	OK
V1		VmF	lemma/88384	a1414	alleuio	D060A	adleuio	OK
N3B	f	NcC	lemma/88654	a1661	amentatio	D0624	admentatio	OK
N2	n	NcB	lemma/88694	a1695	ammentum	D0626	admentum	OK
V1		VmF	lemma/87524	a0653	adminiculo	D062G	adminiculor	OK
N3B	f	NcC	lemma/88112	a1185	agnatio	D066E	adnatio	OK
V1		VmF	lemma/89109	a2059	annihilo	D0672	adnihilo	OK
V1		VmF	lemma/89123	a2071	annullo	D0679	adnullo	OK
V1		VmF	lemma/87693	a0807	adulescentior	D0687	adolescentior	OK
N2	m	NcB	lemma/88676	a1681	adulescentulus	D0688	adolescentulus	OK
N1	f	NcA	lemma/87630	a0750	adoria	D069F	adorea	OK
V4		VmL	lemma/87632	a0751	adorior	D06A2	adorio	OK
V3		VmH	lemma/89603	a2504	applaudo	D06B4	adplaudo	OK
I		X--	lemma/89605	a2506	applene	D06B5	adplene	OK
V1		VmF	lemma/89607	a2508	applico	D06B7	adplico	OK
V1		VmF	lemma/31173	D13B8	appodio	D06B8	adpodio	NO
V3		VmH	lemma/89613	a2513	appono	D06B9	adpono	OK
V3		VmH	lemma/89623	a2523	apprehendo	D06BE	adprehendo	OK
V1		VmF	lemma/89627	a2527	appretio	D06BF	adpretio	OK
V1		VmF	lemma/89642	a2542	appropinquo	D06C3	adpropinquo	OK
V1		VmF	lemma/89643	a2543	appropio	D06C2	adpropio	OK
V1		VmF	lemma/89645	a2545	approprio	D06C4	adproprio	OK
I		X--	lemma/90490	a3301	atque	D06C7	adque	OK
V3		VmH	lemma/87263	a0406	acquiesco	D06C9	adquiesco	OK
V3		VmH	lemma/90079	a2924	arrodo	D06EB	adrodo	OK
V4		VmL	lemma/90353	a3171	assilio	D06F1	adsalio	OK
N3B	f	NcC	lemma/90200	a3036	ascriptio	D06F6	adscriptio	OK
N3B	f	NcC	lemma/90290	a3114	assectatio	D06F9	adsectatio	OK
N3B	m	NcC	lemma/90291	a3115	assectator	D06FA	adsectator	OK
V1		VmF	lemma/90300	a3123	assello	D06FD	adsello	OK
N3B	f	NcC	lemma/90305	a3128	assentatio	D06FH	adsentatio	OK
N3B	m	NcC	lemma/90946	a6142	assertor	D06G1	adsertor	OK
N3B	f	NcC	lemma/90328	a3148	assessio	D06G3	adsessio	OK
N3B	m	NcC	lemma/90329	a3149	assessor	D06G4	adsessor	OK
N1	f	NcA	lemma/90326	a3146	assessura	D06G7	adsessura	OK
V2		VmG	lemma/90340	a3159	assideo	D06G9	adsideo	OK
N3B	f	NcC	lemma/90347	a3165	assignatio	D06GC	adsignatio	OK
V1		VmF	lemma/90351	a3169	assigno	D06GB	adsigno	OK
V1		VmF	lemma/90357	a3175	assimulo	D06GD	adsimilo	OK
V1		VmF	lemma/90357	a3175	assimulo	D06GE	adsimulo	OK
N3B	f	NcC	lemma/90333	a3152	assestrix	D06GF	adsistrix	OK
V1		VmF	lemma/90370	a3188	assolo	D06H0	adsolo	OK
V5		VmM	lemma/90262	a3091	aspicio	D06H5	adspicio	OK
N3B	m	NcC	lemma/90419	a3236	astipulator	D06HF	adstipulator	OK
V1		VmF	lemma/90421	a3237	astipulor	D06HE	adstipulo	OK
V3		VmH	lemma/90434	a3249	astrepo	D06HH	adstrepo	OK
N3B	f	NcC	lemma/90377	a3195	assuetudo	D0701	adsuetudo	OK
N4	m	NcD	lemma/91051	a8907	assultus	D0702	adsultus	OK
V1		VmF	lemma/90522	a3329	attamino	D0707	adtamino	OK
N5	f	NcE	lemma/90529	a3336	attemperies	D0709	adtemperies	OK
V1		VmF	lemma/90531	a3338	attempto	D070B	adtempto	OK
V3		VmH	lemma/90532	a3339	attendo	D070E	adtendo	OK
V1		VmF	lemma/90538	a3345	attermino	D070F	adtermino	OK
V1		VmF	lemma/90558	a3365	attitulo	D070H	adtitulo	OK
V3		VmH	lemma/90569	a3376	attraho	D0714	adtraho	OK
V1		VmF	lemma/90571	a3378	attrecto	D0715	adtrecto	OK
V1		VmF	lemma/90578	a3385	attropo	D0716	adtropo	OK
N2/1	*	Af-	lemma/87655	a0773	aduenticius	D0734	aduentitius	NO
N2	n	NcB	lemma/87447	a0579	adiantum	D079A	adyantum	NO
N2	m	NcB	lemma/105074	h0031	haedus	D07BA	aedus	OK
N3B	f	NcC	lemma/100770	e0274	electio	D07CD	aelectio	NO
V1		VmF	lemma/87804	a0900	aemulor	D07D1	aemulo	OK
N2	n	NcB	lemma/89343	a2271	aeneum	D07DF	aenum	OK
N3A	*	Af-	lemma/87854	a0946	aequiperabilis	D07FA	aequiparabilis	OK
V1		VmF	lemma/87859	a0951	aequipero	D07FC	aequiparo	OK
N2	m	NpB	lemma/6456	29971	ethicus	3154	aethicus	NO
N3B	f	NcC	lemma/87955	a1037	aetas	D0837	aeuitas	OK
N2	n	NcB	lemma/27870	D0856	affaitamentum	D0871	affaytamentum	NO
N2	n	NcB	lemma/27986	D08G1	affranchisamentum	D08G3	affrancisamentum	NO
N3B	f	NcC	lemma/28014	D08HB	affrontacio	D08HE	affrontatio	NO
V1		VmF	lemma/27287	D05B9	adgrauor	D09AA	aggrauor	NO
N3B	f	NcC	lemma/88112	a1185	agnatio	D09F2	agnacio	NO
N1	m	NcA	lemma/88154	a1218	agonotheta	D09HE	agonitheta	OK
V1		VmF	lemma/88152	a1216	agonizor	D09HF	agonizo	OK
N3A	*	Af-	lemma/28296	D0A18	agrairalis	D0A2H	agrayralis	NO
N1	f	NcA	lemma/87273	a0414	acredula	D0A36	agredula	OK
N1	f	NcA	lemma/91114	a9238	agri-cultura	D0A4G	agricultura	OK
N1	f	NcA	lemma/91114	a9238	agri-cultura	D0A4G	agricultura	OK
N2	n	NcB	lemma/88343	a1373	aquifolium	D0A53	agrifolium	OK
N1	f	NcA	lemma/28492	D0819	aessella	D0ADA	aissella	NO
N2	n	NcB	lemma/88196	a1254	aizoum	D0AE6	aizoon	OK
N1	m	NcA	lemma/89738	a2626	arabarches	D0AF6	alabarches	OK
N1	f	NcA	lemma/91163	a9980	arabarchia	D0AF7	alabarchia	OK
N1	f	NcA	lemma/88208	a1265	alapa	D0B04	alapha	NO
N2	m	NcB	lemma/28557	D0B06	alaphus	D0B0D	alapus	NO
N3B	n	NcC	lemma/86915	a0082	ablegmina	D0B5G	albegmina	OK
N1	f	NcA	lemma/28711	D0BB5	alcaidaria	D0BBG	alcaydaria	NO
N1	f	NcA	lemma/28731	D0BCE	alchia	D0BD5	alcia	NO
N3B	f	NcC	lemma/88277	a1319	alcyon	D0BD9	alcion	OK
N2/1	*	Af-	lemma/88304	a1342	algiosus	D0BDA	alciosus	OK
N2	n	NcB	lemma/88352	a1382	alium	D0BHE	aleum	OK
N1	f	NcA	lemma/28802	D0BFB	aleia	D0C03	aleya	NO
N1	f	NcA	lemma/88282	a1324	alea	D0C41	alia	OK
N2	n	NcB	lemma/88204	a1261	alabrum	D0C53	alibrum	OK
N1	f	NcA	lemma/88313	a1350	alica	D0C57	alicha	NO
N1	m	NcA	lemma/88347	a1377	alipta	D0C99	aliptes	OK
N1	f	NcA	lemma/29041	D0CFH	alleluia	D0CG0	alleluya	NO
N2	n	NcB	lemma/29043	D0CG2	alleluiarium	D0CG3	alleluyarium	NO
N2	n	NcB	lemma/88352	a1382	alium	D0D03	alleum	OK
N1	f	NcA	lemma/29037	D0CFD	alleia	D0D09	alleya	NO
N1	f	NcA	lemma/29081	D060B	adlicula	D0D14	allicula	NO
N1	f	NcA	lemma/29200	D0D99	almarchia	D0D9A	almarcia	NO
N1	f	NcA	lemma/88431	a1459	aloe	D0DDF	aloa	OK
N2	m	NcB	lemma/29307	D0DG0	alophus	D0DG4	alopus	NO
N1	f	NcA	lemma/29344	D0E0D	alphita	D0E19	alpita	NO
V1		VmF	lemma/88461	a1486	altercor	D0E59	alterco	OK
N1	f	NcA	lemma/88475	a1500	althaea	D0E6B	althea	OK
N3A	*	Af-	lemma/88472	a1497	alterplex	D0E8C	altriplex	OK
N2	m	NcB	lemma/130521	u0956	ulucus	D0E9C	alucus	OK
N1	f	NcA	lemma/105130	h0081	hama	D0EDD	ama	OK
V1		VmF	lemma/88565	a1578	amarico	D0EH4	amaricor	OK
N3B	m	NcC	lemma/130532	u0967	umbo	D0F7C	ambo	OK
N1	f	NcA	lemma/88632	a1640	ambubaia	D0F9A	ambubia	OK
N2	n	NcB	lemma/88791	a1784	ampullagium	D0F9H	ambulacium	OK
N1	f	NcA	lemma/88762	a1757	amphora	D0FE8	amfora	OK
V1		VmF	lemma/88677	a1682	amico	D0FF7	amicor	OK
N1	f	NcA	lemma/88814	a1806	amygdala	D0FGH	amigdala	NO
N2	n	NcB	lemma/88816	a1806	amygdalum	D0FH0	amigdalum	NO
V1		VmF	lemma/87541	a0668	admiror	D0G35	ammiror	OK
N2/1	*	Af-	lemma/105145	h0095	hammoniacus	5234	ammoniacus	OK
N3B	f	NcC	lemma/87561	a0685	admonitio	D0G3F	ammonitio	OK
N3B	f	NcC	lemma/87567	a0691	admotio	D0G41	ammotio	OK
V2		VmG	lemma/87568	a0692	admoueo	D0G42	ammoueo	OK
N2	n	NcB	lemma/88803	a1796	amuletum	D0G5D	amoletum	OK
V1		VmF	lemma/88822	a1812	amylo	D0G5C	amolo	OK
N2	n	NcB	lemma/88823	a1813	amylum	D0G5H	amolum	OK
N2	n	NcB	lemma/88761	a1756	amphitheatrum	D0GB3	amphiteatrum	OK
N2	n	NcB	lemma/88761	a1756	amphitheatrum	D0GB3	amphiteatrum	OK
N2	m	NcB	lemma/29940	D0G9F	amphibalus	D0GBF	ampibalus	NO
N1	f	NcA	lemma/88762	a1757	amphora	D0GDF	ampora	OK
N3B	n	NcC	lemma/29964	D0GBA	amphorisma	D0GDG	amporisma	NO
N1	f	NcA	lemma/105150	h0099	hamula	D0GF2	amula	OK
N2	m	NcB	lemma/105152	h0101	hamus	D0GFE	amus	OK
N1	f	NcA	lemma/89929	a2791	anaphora	D0H06	anafora	OK
V1		VmF	lemma/89376	a2303	anxo	D0H54	anaxo	OK
N2	n	NcB	lemma/88930	a1907	ancaesa	D0H6B	ancesa	NO
N1	f	NcA	lemma/30153	D0H5B	anca	D0H6D	ancha	NO
N1	f	NcA	lemma/30149	D0H67	anceria	D0H71	ancheria	NO
N3B	n	NcC	lemma/88938	a1915	ancile	D0H72	anchile	NO
N1	f	NcA	lemma/88953	a1927	ancora	D0H78	anchora	OK
N1	f	NcA	lemma/88958	a1931	ancrae	D0H82	anchrae	NO
V1		VmF	lemma/88943	a1919	ancillor	D0H8F	ancillo	OK
N1	f	NcA	lemma/88937	a1914	anchusa	D0HBB	ancusa	NO
N1	f	NcA	lemma/88762	a1757	amphora	D0HGC	anfora	OK
N2	m	NcB	lemma/89010	a1972	angarus	D100G	angarius	OK
V1		VmF	lemma/89009	a1971	angario	D100H	angarizo	OK
N2	n	NcB	lemma/88946	a1922	ancistron	D1030	angistrum	OK
N1	f	NcA	lemma/88958	a1931	ancrae	D1040	angrae	OK
V3		VmH	lemma/87580	a0703	adnecto	D10BF	annecto	OK
N2	n	NcB	lemma/87590	a0712	adnotamentum	D10E7	annotamentum	OK
N3B	f	NcC	lemma/87591	a0713	adnotatio	D10E9	annotatio	OK
V1		VmF	lemma/87594	a0716	adnoto	D10E8	annoto	OK
N2	m	NcB	lemma/90141	a2981	anularius	D10FG	annularius	OK
N2	m	NcB	lemma/89363	a2290	anulus	D10G0	annulus	OK
N2/1	*	Af-	lemma/89135	a2082	anomalos	D10H3	anomalus	OK
V3		VmH	lemma/91081	a9053	ante-dico	D113G	antedico	OK
N2	n	NcB	lemma/30701	D1197	anthicorium	D11B9	anticorium	NO
N2/1	*	Af-	lemma/87976	a1056	antiquus	D11BC	anticus	OK
I		X--	lemma/89188	a2131	antegerio	D11D1	antigerio	OK
N2	n	NcB	lemma/89196	a2139	antelogium	D11DB	antilogium	OK
N2	m	NcB	lemma/30816	D11A1	anthypatus	D11E9	antipatus	NO
V1		VmF	lemma/89233	a2176	antesto	D11GG	antisto	OK
N2	n	NcB	lemma/30676	D119F	anthropomorfeon	D1212	antropomorfeon	NO
N3B	f	NcC	lemma/30811	D1218	antrussio	D1219	antrustio	NO
N2	m	NcB	lemma/30816	D11A1	anthypatus	D121F	antyphatus	NO
N3B	f	NcC	lemma/89374	a2301	anxitudo	D1238	anxietudo	OK
N1	f	NcA	lemma/89445	a2360	apicula	D1263	apecula	OK
N3A	*	Af-	lemma/89398	a2323	apertibilis	D127E	aperibilis	OK
N3B	f	NcC	lemma/89456	a2369	apis	D128C	apes	OK
N3B	f	NcC	lemma/89456	a2369	apis	D128C	apes	OK
N2	m	NcB	lemma/89393	a2319	apenarii	D12BF	apinarii	OK
N1	f	NcA	lemma/89470	a2381	apocha	D12D6	apoca	OK
N2	n	NcB	lemma/89501	a2409	apologeticon	D12G6	apologeticum	OK
N1	f	NcA	lemma/89550	a2451	apotheca	D132C	apoteca	NO
V1		VmF	lemma/89559	a2460	apozymo	D133A	apozimo	NO
N1	f	NcA	lemma/31138	D06AH	adpensa	D138D	appensa	NO
N1	f	NcA	lemma/89462	a2374	apluda	D13B2	appluda	OK
N3B	f	NcC	lemma/27515	D06C1	adprisio	D13F6	apprisio	NO
N1	f	NcA	lemma/89673	D01E0	absida	D1415	apsida	NO
V1		VmF	lemma/87019	a0179	absono	D1417	apsono	OK
N2/1	*	Af-	lemma/26448	D0228	absus	D141A	apsus	NO
N2	n	NcB	lemma/31305	D1446	aquairolium	D146B	aquayrolium	NO
N4	m	NcD	lemma/90901	a3670	aquae-ductus	D146D	aqueductus	OK
N2	n	NcB	lemma/89693	a2586	aquaelicium	D1484	aquilicium	OK
N3B	n	NcC	lemma/89730	a2618	aquiminale	D148D	aquimanile	OK
N1	f	NcA	lemma/90158	a2998	aratia	D14A8	aracia	OK
V4		VmL	lemma/31404	D06CH	adramio	D14BF	aramio	NO
N3B	m	NcC	lemma/89915	a2780	arepennis	D14D5	arapennis	OK
N2	n	NcB	lemma/89777	a2657	arbitrium	D14H0	arbiterium	OK
V1		VmF	lemma/89779	a2658	arbitror	D14H7	arbitro	OK
N2	n	NcB	lemma/89933	a2795	argentum	D1539	arcentum	OK
V4		VmL	lemma/89812	D02CG	accersio	D1542	arcessio	NO
N1	f	NcA	lemma/89797	a2674	arca	D1547	archa	OK
N2	n	NcB	lemma/31531	D151E	arcagium	D154A	archagium	NO
N2	n	NcB	lemma/31500	D1521	arcaragium	D154E	archaragium	NO
N2	n	NcB	lemma/31504	D1526	arcarium	D154G	archarium	NO
N2	m	NcB	lemma/90160	a3000	arcarius	D154H	archarius	OK
N2/1	*	Af-	lemma/90930	a3730	archebulius	7891	archebuleus	OK
N2	m	NcB	lemma/31518	D1538	arcellus	D1555	archellus	NO
N1	f	NcA	lemma/89807	a2684	arcera	D1558	archera	NO
N2	n	NcB	lemma/89875	a2744	arcisellium	D15D2	archisellium	OK
N3A	*	Af-	lemma/90057	a2905	arcitenens	D15DH	architenens	NO
N2	n	NcB	lemma/89865	a2734	archium	D15ED	archiuum	OK
N2	n	NcB	lemma/31665	D15D7	archisterium	D15G6	arcisterium	NO
N1	f	NcA	lemma/89891	a2759	arcula	D15GA	arcla	OK
N2	n	NcB	lemma/31685	D15EH	archonium	D15GG	arconium	NO
N1	f	NcA	lemma/105161	h0109	harenaria	D1637	arenaria	OK
N2	n	NcB	lemma/105163	h0109	harenarium	D163B	arenarium	OK
N2	m	NcB	lemma/105162	h0109	harenarius	D163D	arenarius	OK
V4		VmL	lemma/31404	D06CH	adramio	D16AE	arhamio	NO
N1	f	NcA	lemma/89909	a2775	area	D16AF	aria	OK
N1	f	NcA	lemma/105064	h0022	hariola	D16CB	ariola	OK
N1	f	NcA	lemma/89914	a2779	areola	D16CB	ariola	OK
V1		VmF	lemma/105173	h0118	hariolor	D16CC	ariolor	OK
N2	m	NcB	lemma/105086	h0041	hariolus	D16CD	ariolus	OK
N3B	m	NcC	lemma/89915	a2780	arepennis	D16CH	aripennis	OK
N2	m	NcB	lemma/90160	a3000	arcarius	D16ED	arkarius	OK
N3B	f	NcC	lemma/90005	a2861	armatio	D16F4	armacio	NO
N1	f	NcA	lemma/105177	h0122	harmonia	D1738	armonia	OK
N1	f	NcA	lemma/105180	h0124	harpa	D176E	arpa	OK
V1		VmF	lemma/105183	h0127	harpago	D1772	arpago	OK
N3A	*	Af-	lemma/90057	a2905	arcitenens	D178G	arquitenens	OK
N2	n	NcB	lemma/32104	D17C4	arreiragium	D17F0	arreyragium	NO
N2	n	NcB	lemma/90092	a2937	arsineum	D181C	arsinum	OK
N1	f	NcA	lemma/90098	a2943	arteria	D182C	artaeria	NO
N3B	m	NcC	lemma/90097	a2942	artemon	D183D	artemo	OK
N2	n	NcB	lemma/89875	a2744	arcisellium	D1882	artisellium	OK
N2	n	NcB	lemma/105957	h0854	harundinetum	D18B5	arundinetum	OK
N2	n	NcB	lemma/105194	h0136	haruspicium	D18BC	aruspicium	OK
N1	f	NcA	lemma/89737	a2625	ara	D18C9	asa	OK
N1	m	NcA	lemma/90194	a3030	ascites	D18F7	aschites	NO
N1	f	NcA	lemma/90183	a3019	ascella	D18FF	ascilla	OK
N1	f	NcA	lemma/90197	a3033	ascopa	D18H4	ascopera	OK
V1		VmF	lemma/90805	a3588	ausculto	D18HB	asculto	OK
N1	f	NcA	lemma/105158	h0107	harena	D1913	asena	OK
N2	n	NcB	lemma/90479	a3290	asylum	D1929	asilum	NO
V4		VmL	lemma/90353	a3171	assilio	D199C	assalio	OK
N4	m	NcD	lemma/91051	a8907	assultus	D19A0	assaltus	OK
N1	f	NcA	lemma/32597	D06G0	adsentia	D19F1	assentia	NO
N2	m	NcB	lemma/100757	e0261	essedarius	D1A0B	assidarius	OK
N3B	f	NcC	lemma/90354	a3172	assimulatio	D1A3B	assimilatio	OK
N3B	m	NcC	lemma/90172	a3009	as	D1A42	assis	OK
N3B	m	NcC	lemma/90172	a3009	as	D1A42	assis	OK
N3B	m	NcC	lemma/90884	a3654	axis	D1A42	assis	OK
N3B	f	NcC	lemma/90333	a3152	assestrix	D1A5G	assistrix	OK
N1	f	NcA	lemma/105195	h0137	hasta	D1A8G	asta	OK
N1	f	NcA	lemma/27581	D06H9	adstantia	D1AA0	astantia	NO
N2	n	NcB	lemma/105197	h0138	hastarium	D1AA3	astarium	OK
N2/1	*	Af-	hypolemma/76700	h0139	hastatus	D1AA9	astatus	OK
V1		VmF	lemma/90421	a3237	astipulor	D1ABE	astipulo	OK
N1	f	NcA	lemma/105205	h0145	hastula	D1AE8	astula	OK
N1	f	NcA	lemma/90379	a3197	assula	D1AE8	astula	OK
I		X--	lemma/87344	a0479	ad	D1AFA	at	OK
N2/1	*	Af-	lemma/90965	a6300	atomus	D1B0C	athomus	NO
V1		VmF	lemma/90571	a3378	attrecto	D1BA4	attracto	OK
N3B	f	NcC	lemma/90584	a3390	atturatio	D1BB6	atturacio	NO
N1	f	NcA	lemma/90519	a3326	aucella	D1C0E	aucula	OK
N3B	f	NcC	lemma/90625	a3426	aucupatio	D1C0G	aucupacio	NO
N2	n	NcB	lemma/90681	a3479	augmentum	D1C98	augumentum	OK
N2	n	NcB	lemma/90717	a3507	aulaeum	D1CF0	auleum	NO
N1	f	NcA	lemma/114910	o0679	ollula	D1CF8	aulula	OK
N2	m	NcB	lemma/90729	a3518	aulos	D1CF9	aulus	OK
V1		VmF	lemma/33282	D1CGH	auoio	D1CHD	auoyo	NO
N2	n	NcB	lemma/115176	o0925	oraculum	D1D06	auraculum	OK
N3B	f	NcC	lemma/90799	a3582	aurugo	D1D3G	aurigo	OK
N2/1	*	Af-	lemma/90801	a3584	aurulentus	D1D5C	aurolentus	OK
N2	n	NcB	lemma/105211	h0151	haustrum	D1D91	austrum	OK
N2	n	NcB	lemma/115404	o1132	ostrum	D1D91	austrum	OK
N1	f	NcA	lemma/33415	D1D9G	autentica	D1DA9	authentica	NO
V1		VmF	lemma/33426	D1DAF	authorico	D1DBG	autorico	NO
N3A	*	Af-	lemma/33442	D1DAG	authorisabilis	D1DC1	autorisabilis	NO
N2	n	NcB	lemma/28486	D0AD1	aisamentum	D1E0B	aysamentum	NO
N2/1	*	Af-	lemma/33540	D0AD3	aisatus	D1E0C	aysatus	NO
N2/1	*	Af-	lemma/33545	D0AD6	aisitus	D1E10	aysitus	NO
N1	f	NcA	lemma/33547	D0AD8	aissada	D1E12	ayssada	NO
N2	n	NcB	lemma/33552	D1E17	azacatorium	D1E18	azachatorium	NO
N2	n	NcB	lemma/33619	D1E5G	babilonicum	D1E6C	babylonicum	NO
N1	f	NcA	lemma/129458	u0003	uacca	D1E8D	baccha	OK
N1	f	NcA	lemma/91231	b0038	bacca	D1E8D	baccha	OK
N1	f	NcA	lemma/33644	D1E7D	baccalaria	D1E8E	bacchalaria	NO
N2	m	NcB	lemma/33656	D1E81	baccalarius	D1E8G	bacchalarius	NO
N1	f	NcA	lemma/33657	D1E83	baccania	D1E8H	bacchania	NO
N2	n	NcB	lemma/33658	D1E89	baccarium	D1E90	baccharium	NO
N1	f	NcA	lemma/91224	b0033	bacula	D1E9E	baccula	OK
N2	m	NcB	lemma/91210	b0023	bacchus	D1E9G	baccus	NO
N1	f	NcA	lemma/91191	b0006	baca	D1EA5	bacha	NO
N3B	n	NcC	lemma/33683	D1EAH	bachile	D1EC1	bacile	NO
N3B	m	NcC	lemma/33836	D1F34	baillio	D1F3C	bailo	NO
V1		VmF	lemma/91239	b0046	baiulo	D1F41	baiolo	OK
N2	m	NcB	lemma/91240	b0047	baiulus	D1F43	baiolus	OK
N1	f	NcA	lemma/129531	u0069	ualua	D1F8G	balba	OK
N1	f	NcA	lemma/91257	b0063	ballaena	D1FBB	balena	OK
N2	n	NcB	lemma/91283	b0085	balneum	D1FD9	balineum	OK
N1	f	NcA	lemma/91265	b0070	ballista	D1FE0	balista	OK
N1	f	NcA	lemma/91262	b0068	ballematia	D1FF9	ballemathia	NO
N1	f	NcA	lemma/91297	b0097	baluca	D1FH5	balluca	OK
V1		VmF	lemma/91292	b0094	balteo	D1G21	baltheo	NO
N1	f	NcA	lemma/34105	D1G47	banca	D1G4G	bancha	NO
N2	m	NcB	lemma/91302	b0102	bancus	D1G58	banchus	NO
N2	n	NcB	lemma/34122	D1G62	bandairagium	D1G65	bandayragium	NO
V1		VmF	lemma/34185	D1GAA	banneio	D1GB4	banneyo	NO
N1	f	NcA	lemma/34261	D1GG5	baraca	D1GG7	baracha	NO
N2	m	NcB	lemma/34365	D1H64	barchonus	D1H69	barconus	NO
N1	f	NcA	lemma/34369	D1H6E	bardaea	D1H74	bardea	NO
N2	m	NcB	lemma/34466	D1HD8	barracanus	D1HDA	barrachanus	NO
N3B	f	NcC	lemma/91383	b0170	basis	D2051	bassis	OK
N3B	f	NcC	lemma/91383	b0170	basis	D2051	bassis	OK
N1	f	NcA	lemma/34672	D209C	bataia	D20B1	bataya	NO
N1	f	NcA	lemma/34678	D20A2	batalia	D20C2	bathalia	NO
N1	f	NcA	lemma/91396	b0183	batioca	D20C6	bathioca	NO
N2	n	NcB	lemma/129635	u0162	uatillum	D20D0	batillum	OK
V3		VmH	lemma/91404	b0191	battuo	D20F0	batto	OK
N3B	m	NcC	lemma/33836	D1F34	baillio	D213E	baylo	NO
N2	m	NcB	lemma/34900	D216H	beccarius	D2172	beccharius	NO
N2	m	NcB	lemma/91379	b0166	beluus	D21B1	belbus	OK
N3B	m	NcC	lemma/129976	u0467	ueruex	D223A	berbix	OK
N1	f	NcA	lemma/91528	b0307	bibliotheca	D231B	biblioteca	NO
N3B	f	NcC	lemma/91644	b0411	bipertitio	D23FC	bipartitio	OK
N1	f	NcA	lemma/92054	b0789	byrsa	D23H8	birsa	NO
N1	f	NcA	lemma/35624	D240D	biscatia	D2410	bischatia	NO
N3B	m	NcC	lemma/130388	u0830	uispillo	D2430	bispellio	OK
N3B	m	NcC	lemma/130388	u0830	uispillo	D2431	bispello	OK
N2	m	NcB	lemma/91663	b0427	bisextus	D243H	bissextus	OK
N2/1	*	Af-	hypolemma/78056	u0883	uittatus	D2460	bittatus	OK
N1	f	NcA	lemma/35758	D249A	blanca	D249H	blancha	NO
N2	m	NcB	lemma/35759	D249C	blancardus	D24A0	blanchardus	NO
N2/1	*	Af-	lemma/35873	D24H2	bloius	D24H9	bloyus	NO
N1	f	NcA	lemma/35902	D250D	boairia	D251H	boayria	NO
N1	f	NcA	lemma/91737	b0494	boa	D2521	boba	OK
N3B	m	NcC	lemma/91824	b0574	bouinator	D252B	bobinator	OK
N1	f	NcA	lemma/91961	b0707	bucula	D2579	bocula	OK
N2	m	NcB	lemma/91740	b0498	boethus	D25A0	boetus	NO
V1		VmF	lemma/36387	D26GD	bosco	D26GH	boscho	NO
N2	m	NcB	lemma/36398	D26H5	boschus	D26HD	boscus	NO
N2	m	NcB	lemma/35975	D256E	bocius	D274C	botius	NO
N1	f	NcA	lemma/91737	b0494	boa	D2773	boua	OK
N2	m	NcB	lemma/36516	D2785	boucellus	D2787	bouchellus	NO
V1		VmF	lemma/91784	b0539	boo	D2778	bouo	OK
N1	f	NcA	lemma/36621	D25D0	boisseria	D27EE	boysseria	NO
N3B	n	NcC	lemma/92112	b9697	brachiale	D27H1	bracchiale	OK
N1	f	NcA	lemma/36643	D27G5	bracae	D27HG	brachae	NO
N3B	n	NcC	lemma/36664	D27G8	bracale	D27HH	brachale	NO
N2	m	NcB	lemma/36669	D27H9	bracellus	D2804	brachellus	NO
N2	n	NcB	lemma/36662	D27HD	bracerium	D2807	bracherium	NO
