o[-r-]	78
[-h-]a	22
a[-s-]{+d+}s	16
o{+r+}	15
c[-a-]e	13
s[-a-]e	10
i[-r-]{+n+}r	10
[-h-]o	10
{+h+}u	9
a[-t-]{+d+}t	9
a[-p-]{+d+}p	9
i[-l-]{+n+}l	8
c{+h+}a	8
c[-h-]a	8
a{+d+}s	8
t{+h+}u	7
i[-m-]{+n+}p	7
c[-h-]l	7
a[-f-]{+d+}f	7
r[-r-]i	6
r[-e-]{+i+}a	6
m[-i-]n	6
l[-l-]a	6
{+h+}e	6
c[-e-]{+i+}a	6
x[-s-]t	5
x[-s-]e	5
t[-h-]a	5
s[-s-]a	5
[-ph-]{+f+}l	5
n[-t-]{+c+}i	5
n[-e-]{+i+}a	5
m[-a-]{+e+}r	5
h[-a-]e	5
c[-u-]l	5
b[-u-]l	5
[-a-]e	5
t{+u+}o	4
s{+s+}i	4
[-ph-]{+f+}a	4
p[-e-]{+a+}r	4
o[-n-]	4
o[-l-]{+n+}l	4
n[-e-]u	4
l{+l+}i	4
l{+l+}a	4
l[-i-]{+e+}u	4
i[-ph-]{+f+}e	4
i[-c-]{+t+}i	4
f[-a-]e	4
c{+o+}e	4
c[-h-]o	4
c[-c-]h	4
c[-au-]{+o+}d	4
a[-d-]{+n+}n	4
a[-d-]{+m+}m	4
a[-c-]{+t+}i	4
x{+s+}u	3
x[-s-]p	3
u[-s-]{+do+}	3
u[-o-]{+u+}l	3
u[-m-]i	3
u[-b-]{+r+}r	3
[-u-]{+b+}i	3
[-u-]{+b+}a	3
u[-a-]e	3
t[-h-]e	3
s{+s+}a	3
s[-e-]{+a+}r	3
s{+a+}e	3
r[-h-]e	3
p[-h-]a	3
p[-a-]e	3
o[-r-]{+n+}r	3
o[-qu-]{+c+}i	3
n[-n-]u	3
n[-n-]a	3
n[-e-]{+i+}o	3
m[-y-]{+u+}r	3
m[-u-]{+i+}l	3
m[-o-]{+u+}s	3
l[-o-]{+u+}s	3
l{+l+}u	3
l[-l-]i	3
l[-e-]{+i+}s	3
l{+e+}	3
l[-au-]{+o+}s	3
l[-a-]u	3
i[-on-]{+um+}	3
[-h-]i	3
[-h-]e	3
{+g+}n	3
e[-t-]{+c+}i	3
e[-n-]s	3
c[-i-]{+u+}p	3
c[-h-]i	3
c{+c+}u	3
c{+c+}i	3
b[-o-]{+u+}l	3
[-au-]{+o+}r	3
a[-t-]{+c+}t	3
a[-p-]{+b+}s	3
a[-g-]{+d+}g	3
a[-c-]{+d+}c	3
u[-u-]{+o+}l	2
u[-i-]{+e+}r	2
u[-i-]{+e+}n	2
u[-i-]{+e+}l	2
u[-i-]c	2
u[-f-]{+b+}f	2
u[-e-]{+o+}r	2
u[-b-]{+m+}m	2
t[-ur-]a	2
t{+u+}a	2
t[-t-]o	2
t[-t-]i	2
t[-r-]a	2
t[-h-]u	2
t{+h+}a	2
t{+e+}r	2
t[-e-]{+i+}m	2
t[-a-]{+e+}	2
s{+s+}u	2
s{+sis+}	2
s[-er-]a	2
s[-e-]{+i+}a	2
[-s-]c	2
r[-u-]{+o+}s	2
r[-ue-]{+bi+}x	2
r[-u-]{+b+}e	2
r[-t-]{+s+}u	2
r[-o-]{+u+}b	2
r[-i-]a	2
r[-e-]{+i+}s	2
r[-e-]{+i+}o	2
r{+e+}	2
p[-u-]l	2
p[-p-]e	2
p[-o-]{+u+}s	2
p[-i-]{+e+}s	2
p[-i-]{+e+}n	2
p[-i-]{+e+}l	2
p[-h-]i	2
p{+e+}s	2
o{+ti+}s	2
o{+n+}	2
o[-m-]{+n+}p	2
n{+ti+}s	2
n[-s-]{+t+}i	2
n{+n+}u	2
n[-n-]i	2
n{+i+}u	2
m[-y-]{+o+}l	2
m[-y-]{+i+}s	2
m[-u-]{+o+}l	2
m{+p+}n	2
m[-i-]{+o+}g	2
m[-i-]{+e+}n	2
l[-u-]{+o+}s	2
l[-u-]{+i+}t	2
l[-u-]{+b+}u	2
l[-l-]e	2
l[-e-]{+i+}u	2
l[-e-]{+i+}g	2
[-k-]{+c+}a	2
i[-u-]{+o+}l	2
i[-ss-]{+z+}o	2
i[-o-]{+u+}s	2
i[-m-]{+n+}m	2
i{+e+}t	2
[-i-]{+e+}n	2
[-h-]u	2
{+h+}o	2
h[-i-]{+e+}r	2
{+h+}a	2
g[-u-]o	2
g[-r-]{+l+}o	2
g[-a-]e	2
[-f-]{+ph+}a	2
e[-x-]{+c+}s	2
e[-mp-]{+n+}t	2
[-e-]{+i+}a	2
e[-he-]n	2
d[-u-]{+o+}l	2
c[-y-]{+u+}p	2
c[-u-]{+o+}t	2
c[-u-]{+o+}n	2
c[-u-]{+o+}l	2
c[-h-]u	2
c{+h+}o	2
c[-e-]{+i+}l	2
c[-c-]e	2
c[-c-]a	2
c[-au-]{+o+}p	2
[-b-]{+u+}i	2
[-b-]{+u+}a	2
b[-o-]{+u+}r	2
b[-o-]e	2
b{+i+}s	2
b[-ic-]u{+c+}l	2
b{+e+}s	2
b[-e-]{+i+}c	2
[-b-]{+du+}e	2
a[-r-]{+l+}a	2
a[-ns-]u	2
a[-n-]{+d+}n	2
a[-l-]{+d+}l	2
a[-b-]{+u+}a	2
a[-b-]{+p+}a	2
[-z-]{+s+}o	1
z[-ae-]{+i+}n	1
z[-a-]e	1
[-y-]p	1
x[-u-]{+so+}l	1
x[-s-]u	1
x[-s-]c	1
x{+h+}e	1
x[-h-]a	1
x[-e-]{+i+}n	1
u{+u+}m	1
u{+u+}i	1
u[-u-]{+b+}i	1
u[-s-]{+m+}	1
u[-sc-]{+t+}u	1
u[-p-]{+b+}t	1
u[-p-]{+b+}p	1
[-u-]{+o+}r	1
[-u-]{+o+}m	1
[-u-]{+o+}l	1
u[-o-]{+e+}r	1
u[-m-]{+n+}t	1
u[-m-]{+n+}q	1
u{+i+}t	1
u[-i-]{+e+}p	1
u[-i-]{+ae+}r	1
u[-g-]{+c+}a	1
u[-g-]{+b+}g	1
u[-es-]i{+s+}a	1
u[-e-]{+o+}t	1
u{+e+}l	1
u[-e-]{+i+}r	1
u[-e-]{+i+}d	1
u[-c-]{+g+}a	1
u[-c-]{+b+}c	1
u[-b-]{+u+}i	1
u{+b+}l	1
u[-b-]{+f+}a	1
[-u-]{+b+}e	1
[-u-]{+a+}m	1
[-u-]{+a+}l	1
u[-ae-]{+i+}l	1
u{+a+}e	1
