LiLaRef	LemLatLST	genLST
lemma/93149	87443(D350C),6221(c0902)	1,m
lemma/93485	88124(D3742),6542(c1193)	1,n
lemma/93628	88395(D383H),6694(c1316)	1,m
lemma/94399	89557(D3C10),7437(c2008)	2,f
lemma/94557	90028(D3DB2),7603(c2149)	2,f
lemma/94661	90120(D3DH5),7718(c2247)	1,n
lemma/94889	90557(D3FEC),7987(c2456)	1,n
lemma/95024	90931(D3G84),8119(c2572)	2,m
lemma/95530	84996(D2EHH),5524(c3037)	2,m
lemma/95831	91925(D41H9),8992(c3321)	2,m
lemma/95975	92115(D42D6),9143(c3459)	2,m
lemma/96471	92675(D44DG),9688(c3916)	2,f
lemma/96570	92884(D4597),9791(c4008)	2,m
lemma/96624	93089(D465A),9845(c4055)	1,n
lemma/96720	93349(D46HB),9944(c4144)	2,m
lemma/96780	93437(D477D),10001(c4199)	3,n
lemma/96830	90391(D3EF8),7853(c4245)	1,n
lemma/96900	90391(D3EF8),7854(c4308)	1,n
lemma/97099	94335(D4A45),10321(c4485)	1,n
lemma/97180	94488(D4ADD),10402(c4560)	1,m
lemma/97191	94520(D4AFD),10413(c4570)	1,m
lemma/97346	94854(D4BH2),10553(c4710)	1,n
lemma/97396	94997(D4C9A),10608(c4758)	1,m
lemma/97870	95172(D4D0E),10721(d0013)	2,f
lemma/99334	96484(D519A),12223(d1378)	2,f
