lemma	codlem	gen	codmorf	LiLaRef	LemLatLST
quaestura	N1	f	NcA	lemma/121065	131211(DBD6D),33345(q0110)
querelor	V1		VmF	lemma/121147	131515(DBE73),33429(q0183)
quieto	V1		VmF	lemma/121178	131573(DBEB0),33460(q0209)
quirito	V1		VmF	lemma/121271	131693(DBF03),33558(q0293)
racemo	V1		VmF	lemma/122342	131798(DBF66),33614(r0963)
radico	V1		VmF	lemma/122345	131845(DBF8E),33624(r0965)
radio	V1		VmF	lemma/121448	131837(DBF8B),33627(r0085)
rapina	N1	f	NcA	lemma/121362	132041(DBG2D),132042(DBG2E),132043(DBG2F),33594(r0005)
rapina	N1	f	NcA	lemma/121424	132041(DBG2D),132042(DBG2E),132043(DBG2F),33595(r0063)
raucor	V1		VmF	lemma/122424	148465(DBGFB),33747(r1044)
rauio	V1		VmF	lemma/122426	132257(DBGG9),33754(r1045)
rauus	N2/1	*	Af-	lemma/121491	132237(DBGHC),33759(r0125)
rauus	N2/1	*	Af-	lemma/121770	132237(DBGHC),33760(r0398)
rebellio	N3B	f	NcC	lemma/121498	132341(DBH4H),33773(r0132)
recapitulo	V1		VmF	lemma/122377	148476(DBH8B),33800(r0995)
recordor	V1		VmF	lemma/122429	148494(DC05C),33907(r1047)
regradatio	N3B	f	NcC	lemma/121684	132963(DC1H5),34148(r0315)
regradatio	N3B	f	NcC	lemma/121812	132963(DC1H5),34149(r0440)
regrado	V1		VmF	lemma/122544	132961(DC1H3),34150(r1157)
regula	N1	f	NcA	lemma/121686	132985(DC20D),132986(DC20E),132987(DC20F),132988(DC20G),132989(DC20H),132990(DC210),132991(DC211),132992(DC212),132993(DC213),132994(DC214),34154(r0317)
regula	N1	f	NcA	lemma/121689	132985(DC20D),132986(DC20E),132987(DC20F),132988(DC20G),132989(DC20H),132990(DC210),132991(DC211),132992(DC212),132993(DC213),132994(DC214),34155(r0320)
regulo	V1		VmF	lemma/122547	132995(DC217),34158(r1159)
remedio	V1		VmF	lemma/122592	148560(DC2FB),34249(r1200)
retento	V1		VmF	lemma/121818	133781(DC54E),133782(DC54F),133783(DC54G),34659(r0446)
retento	V1		VmF	lemma/122893	133781(DC54E),133782(DC54F),133783(DC54G),34660(r1506)
reuertor	V3		VmH	lemma/122808	134020(DC637),34762(r1434)
rhombus	N2	m	NcB	lemma/122061	134094(DC68F),34846(r0689)
ructo	V1		VmF	lemma/122865	134945(DC952),35060(r1482)
rumigero	V1		VmF	lemma/122875	148637(DC9B5),35110(r1491)
rumino	V1		VmF	lemma/122878	135050(DC9BA),35116(r1493)
ruspor	V1		VmF	lemma/122887	148640(DCA0G),35162(r1501)
sacerdos	N3B	2	NcC	lemma/123066	135356(DCAB3),35246(s0042)
salio	V4		VmL	lemma/123210	135699(DCBG2),35387(s0169)
saltus	N4	m	NcD	lemma/123576	135833(DCC5C),135834(DCC5D),135835(DCC5E),135836(DCC5F),135837(DCC5G),35444(s0516)
saltus	N4	m	NcD	lemma/127453	135833(DCC5C),135834(DCC5D),135835(DCC5E),135836(DCC5F),135837(DCC5G),35445(s9948)
sarcinator	N3B	m	NcC	lemma/123411	136210(DCD7D),35590(s0363)
sarcinator	N3B	m	NcC	lemma/126352	136210(DCD7D),35591(s3106)
sarda	N1	f	NcA	lemma/123432	136228(DCD90),136229(DCD91),35612(s0383)
sarda	N1	f	NcA	lemma/126568	136228(DCD90),136229(DCD91),35613(s3319)
sartura	N1	f	NcA	lemma/123218	136331(DCDEH),35643(s0177)
satis	I		X--	lemma/123480	136367(DCDH1),136368(DCDH2),136369(DCDH3)
scandula	N1	f	NcA	lemma/123614	136710(DCF1D),136711(DCF1E)
scandula	N1	f	NcA	lemma/123619	136710(DCF1D),136711(DCF1E),35802(s0554)
scapula	N1	f	NcA	lemma/127359	136756(DCF49),35816(s7605)
scilla	N1	f	NcA	lemma/123718	137106(DCG7C),35897(s0641)
scopa	N1	f	NcA	lemma/123781	137281(DCH0A),137282(DCH0B),35952(s0702)
scopa	N1	f	NcA	lemma/127437	137281(DCH0A),137282(DCH0B),35951(s9937)
scopulus	N2	m	NcB	lemma/123791	137308(DCH27),137309(DCH28),35975(s0712)
scopulus	N2	m	NcB	lemma/127309	137308(DCH27),137309(DCH28),35976(s4026)
scutula	N1	f	NcA	lemma/123916	137643(DD03E),36104(s0829)
scutula	N1	f	NcA	lemma/127310	137643(DD03E),36105(s4027)
sequor	V3		VmH	lemma/124461	137797(DD2F3),36658(s1348)
sera	N1	f	NcA	lemma/124463	138458(DD2G2),138459(DD2G3),138460(DD2G4),36124(s1349)
sera	N1	f	NcA	lemma/124556	138458(DD2G2),138459(DD2G3),138460(DD2G4),36120(s1431)
seria	N1	f	NcA	lemma/124475	138521(DD31C),138522(DD31D),36121(s1360)
seria	N1	f	NcA	lemma/124481	138521(DD31C),138522(DD31D),36125(s1366)
seria	N1	f	NcA	lemma/124492	138521(DD31C),138522(DD31D),36122(s1375)
sermonor	V1		VmF	lemma/124500	138569(DD34C),36700(s1381)
serum	N2	n	NcB	lemma/124549	138455(DD3CE),36752(s1427)
serum	N2	n	NcB	lemma/124557	138455(DD3CE),36123(s1431)
sicyon	N3B	*	NpC	lemma/21565	66838(76139),66839(76140)
sicyon	N3B	*	NpC	lemma/21566	66838(76139),66839(76140)
significo	V1		VmF	lemma/124762	139116(DD50F),36962(s1623)
situs	N4	m	NcD	lemma/124927	139427(DD63E),37174(s1774)
situs	N4	m	NcD	lemma/127312	139427(DD63E),37175(s4029)
socio	V1		VmF	lemma/125010	139557(DD6AA),37216(s1852)
solarium	N2	n	NcB	lemma/125038	139670(DD6GC),139671(DD6GD),37245(s1877)
solarium	N2	n	NcB	lemma/127305	139670(DD6GC),139671(DD6GD),37246(s4023)
solarius	N2/1	*	Af-	lemma/125037	139672(DD6GE),139673(DD6GF),37247(s1877)
solarius	N2/1	*	Af-	lemma/127304	139672(DD6GE),139673(DD6GF),37248(s4023)
solitaneus	N2/1	*	Af-	lemma/125071	139779(DD754),37283(s1910)
solitaneus	N2/1	*	Af-	lemma/127313	139779(DD754),37284(s4030)
sono	V1		VmF	lemma/125138	139878(DD7C6),139879(DD7C7),139880(DD7C8),37352(s1975)
sororio	V1		VmF	lemma/125200	139996(DD813),37410(s2027)
sors	N3B	f	NcC	lemma/125180	140015(DD820),140011(DD821),140012(DD822),140014(DD823),140013(DD824)
sors	N3B	f	NcC	lemma/125204	140015(DD820),140011(DD821),140012(DD822),140014(DD823),140013(DD824),37413(s2029)
sortior	V4		VmL	lemma/125211	140036(DD836),37420(s2036)
spatior	V1		VmF	lemma/125267	148690(DD8FG),37475(s2087)
spatula	N1	f	NcA	lemma/125273	140258(DD8G8),140259(DD8G9),140260(DD8GA),37480(s2092)
specula	N1	f	NcA	lemma/125301	140318(DD923),140319(DD924),37483(s2120)
specula	N1	f	NcA	lemma/127442	140318(DD923),140319(DD924),37482(s9941)
squilla	N1	f	NcA	lemma/125535	140675(DDA66),37753(s2335)
stabulo	V1		VmF	lemma/125548	140725(DDA94),37765(s2346)
stagno	V1		VmF	lemma/125566	140807(DDADE),140808(DDADF),37782(s2362)
stagno	V1		VmF	lemma/127314	140807(DDADE),140808(DDADF),37783(s4031)
status	N4	m	NcD	lemma/127471	140993(DDB99),140994(DDB9A),140995(DDB9B),140996(DDB9C),140998(DDB9E),140999(DDB9F),141000(DDB9G),141001(DDB9H),141002(DDBA0),141003(DDBA1),141004(DDBA2),141005(DDBA3),141006(DDBA4),37835(s9962)
stella	N1	f	NcA	lemma/125621	141107(DDBCH),141108(DDBD0),141109(DDBD1),141110(DDBD2),141111(DDBD3)
stella	N1	f	NcA	lemma/125625	141107(DDBCH),141108(DDBD0),141109(DDBD1),141110(DDBD2),141111(DDBD3),37844(s2415)
storia	N1	f	NcA	lemma/105561	141424(DDCD9),141425(DDCDA),141426(DDCDB)
storia	N1	f	NcA	lemma/125767	141424(DDCD9),141425(DDCDA),141426(DDCDB)
striga	N1	f	NcA	lemma/125829	141616(DDD6C),141617(DDD6D),141618(DDD6E),141619(DDD6F),38053(s2602)
striga	N1	f	NcA	lemma/127316	141616(DDD6C),141617(DDD6D),141618(DDD6E),141619(DDD6F),38054(s4033)
stropha	N1	f	NcA	lemma/125852	141677(DDDA8),38078(s2624)
suatim	I		X--	lemma/125939	141845(DDE27),38171(s2703)
suatim	I		X--	lemma/127318	141845(DDE27),38172(s4035)
sub	I		X--	lemma/125956	141850(DDE2C),38187(s2719)
supparo	V1		VmF	lemma/127006	142835(DDHC6),39288(s3744)
supparo	V1		VmF	lemma/127321	142835(DDHC6),39289(s4038)
suspicor	V1		VmF	lemma/127134	148775(DE06H),39416(s3866)
symbola	N1	f	NcA	lemma/127193	143112(DE0CD),39480(s3921)
tegula	N1	f	NcA	lemma/127732	153834(DEFH0),39810(t0201)
tegula	N1	f	NcA	lemma/129152	153834(DEFH0),39811(t1500)
tegurium	N2	n	NcB	lemma/129379	153844(DEFHB),39815(t9204)
temo	N3B	m	NcC	lemma/127763	153893(DEG2A),153894(DEG2B),39780(t0232)
temo	N3B	m	NcC	lemma/129430	153893(DEG2A),153894(DEG2B),39781(t9932)
tempero	V1		VmF	lemma/127773	153905(DEG35),39852(t0241)
testiculo	V1		VmF	lemma/127986	154483(DF019),40083(t0441)
tolero	V1		VmF	lemma/128354	155220(DF27C),40465(t0777)
tonsilla	N1	f	NcA	lemma/128385	155334(DF2E7),155335(DF2E8),40499(t0808)
tonsilla	N1	f	NcA	lemma/129392	155334(DF2E7),155335(DF2E8),40500(t9318)
trutino	V1		VmF	lemma/129119	156795(DF7A3),41247(t1473)
tueor	V2		VmG	lemma/129187	156857(DF7DH),41288(t1712)
turabulum	N2	n	NcB	lemma/129233	156954(DF81D),41331(t1752)
uagito	V1		VmF	lemma/129495	148790(DE18D),41506(u0037)
uagor	V1		VmF	lemma/129496	143337(DE17E),41509(u0038)
uallum	N2	n	NcB	lemma/129527	143441(DE1G0),143442(DE1G1),41539(u0067)
uallum	N2	n	NcB	lemma/129529	143441(DE1G0),143442(DE1G1),41540(u0068)
uano	V1		VmF	lemma/129549	143499(DE203),41563(u0086)
uaticinor	V1		VmF	lemma/129632	148795(DE2DG),41645(u0160)
uelifico	V1		VmF	lemma/129712	148800(DE36G),41733(u0233)
uernalis	N3A	*	Af-	lemma/129894	144274(DE4AB),41936(u0397)
uernalis	N3A	*	Af-	lemma/130280	144274(DE4AB),41937(u0734)
uerno	V1		VmF	lemma/129904	144261(DE4AC),41947(u0406)
uersifico	V1		VmF	lemma/129936	148811(DE4FB),41979(u0433)
uerum	N2	n	NcB	lemma/129970	144117(DE51C),41673(u0462)
uerum	N2	n	NcB	lemma/131032	144117(DE51C),41672(u8133)
uespa	N1	f	NcA	lemma/129996	144441(DE531),42043(u0485)
uespa	N1	f	NcA	lemma/130611	144441(DE531),42044(u1039)
uetusto	V1		VmF	lemma/131072	148814(DE59C),42128(u9545)
uicatim	I		X--	lemma/131081	144671(DE5GA),42141(u9580)
uicatim	I		X--	lemma/131082	144671(DE5GA),42146(u9581)
uirosus	N2/1	*	Af-	lemma/130355	145190(DE7BH),145191(DE7C0),42150(u0799)
uirosus	N2/1	*	Af-	lemma/131148	145190(DE7BH),145191(DE7C0),42145(u9999)
uirtutes	N3B	f	NcC	lemma/85356	145202(DE7CE),145203(DE7CG)
uitrum	N2	n	NcB	lemma/130442	145310(DE82F),42532(u0881)
uitrum	N2	n	NcB	lemma/130706	145310(DE82F),42533(u1132)
ungula	N1	f	NcA	lemma/130659	145531(DE8F8),145532(DE8F9),145533(DE8FA),42763(u1087)
ungula	N1	f	NcA	lemma/130825	145531(DE8F8),145532(DE8F9),145533(DE8FA),42764(u1246)
unio	N3B	m	NcC	lemma/130686	145557(DE8H2),41464(u1112)
unio	N3B	m	NcC	lemma/131103	145557(DE8H2),41465(u9888)
uoco	V1		VmF	lemma/130729	145612(DE923),42841(u1152)
utor	V3		VmH	lemma/130923	145881(DEA7H),43053(u1333)
zelo	V1		VmF	lemma/131194	146763(DECG0),43164(z0009)
