lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
stips	N3B	f	NcC	2	1	0	1	0	1	141295(DDC79),37936(s2503)	lemma/125720
syncope	N1	f	NcA	2	1	0	1	0	1	143143(DE0ED),39512(s3952)	lemma/127228
terrestris	N3A	*	Af-	2	1	0	1	0	1	154316(DEH97),40014(t0379)	lemma/127921
thalamus	N2	m	NcB	2	1	0	1	0	1	154621(DF098),40176(t0521)	lemma/128077
tonus	N2	m	NcB	2	1	0	1	0	1	40513(t0818),155347(DF2F4)	lemma/128396
trames	N3B	m	NcC	2	1	0	1	0	1	155829(DF472),40688(t0964)	lemma/128560
trias	N3B	f	NcC	2	1	0	1	0	1	156270(DF5F8),40905(t1165)	lemma/128773
tribunal	N3B	n	NcC	2	1	0	1	0	1	156303(DF5H9),40922(t1179)	lemma/128790
trochus	N2	m	NcB	2	1	0	1	0	1	41206(t1436),156602(DF6H6)	lemma/129074
tropus	N2	m	NcB	2	1	0	1	0	1	156672(DF736),41217(t1445)	lemma/129083
typus	N2	m	NcB	2	1	0	1	0	1	157200(DF8G0),41453(t1867)	lemma/129346
uacuus	N2/1	*	Af-	2	1	0	1	0	1	41485(u0052),143289(DE157)	lemma/129511
uirginal	N3B	n	NcC	2	1	0	1	0	1	42408(u0767),145129(DE783)	lemma/130320
unguis	N3B	m	NcC	2	1	0	1	0	1	42761(u1085),145522(DE8F6)	lemma/130657
uulpes	N3B	f	NcC	2	1	0	1	0	1	146055(DEABE),43097(u1376)	lemma/130967
