n_idOLD	n_idNEW	lemmata	ts
DD0BC	74527	secundus_N2/1_*_Af-	2023-06-09 14:16:38
DD40C	75888	seuerinus_N2/1_*_Af-	2023-06-09 14:16:38
DD556	76383	siluanus_N2/1_*_Af-	2023-06-09 14:16:38
DD557	76383	siluanus_N2/1_*_Af-	2023-06-09 14:16:38
DD5GF	76724	sireneus_N2/1_*_Af-	2023-06-09 14:16:38
DD8DH	77518	spartanus_N2/1_*_Af-	2023-06-09 14:16:38
DE0A2	81593	sutrius_N2/1_*_Af-	2023-06-09 14:16:38
DE816	90014	uitius_N2/1_*_Af-	2023-06-09 14:16:38
DE839	90051	uitularius_N2/1_*_Af-	2023-06-09 14:16:38
DF8AA	86549	tuscus_N2/1_*_Af-	2023-06-09 14:16:38
